#    L    TT             EE             BB             TE          
   279   0.434248E+04   0.540933E+01   0.242563E-01   0.969168E+02
   280   0.431383E+04   0.554606E+01   0.243993E-01   0.978408E+02
   281   0.428507E+04   0.568462E+01   0.245417E-01   0.987284E+02
   282   0.425589E+04   0.582471E+01   0.246835E-01   0.995869E+02
   283   0.422659E+04   0.596654E+01   0.248248E-01   0.100416E+03
   284   0.419710E+04   0.611004E+01   0.249655E-01   0.101217E+03
   285   0.416741E+04   0.625521E+01   0.251056E-01   0.101989E+03
   286   0.413746E+04   0.640191E+01   0.252451E-01   0.102724E+03
   287   0.410731E+04   0.655012E+01   0.253839E-01   0.103439E+03
   288   0.407705E+04   0.669985E+01   0.255222E-01   0.104117E+03
   289   0.404659E+04   0.685102E+01   0.256599E-01   0.104766E+03
   290   0.401601E+04   0.700349E+01   0.257969E-01   0.105387E+03
   291   0.398531E+04   0.715799E+01   0.259334E-01   0.105964E+03
   292   0.395420E+04   0.731340E+01   0.260692E-01   0.106521E+03
   293   0.392326E+04   0.746936E+01   0.262044E-01   0.107034E+03
   294   0.389205E+04   0.762736E+01   0.263389E-01   0.107526E+03
   295   0.386095E+04   0.778589E+01   0.264728E-01   0.107974E+03
   296   0.382957E+04   0.794645E+01   0.266061E-01   0.108395E+03
   297   0.379815E+04   0.810681E+01   0.267387E-01   0.108787E+03
   298   0.376654E+04   0.826920E+01   0.268707E-01   0.109136E+03
   299   0.373495E+04   0.843286E+01   0.270021E-01   0.109449E+03
   300   0.370324E+04   0.859633E+01   0.271328E-01   0.109727E+03
   301   0.367149E+04   0.876107E+01   0.272629E-01   0.109977E+03
   302   0.363976E+04   0.892634E+01   0.273923E-01   0.110199E+03
   303   0.360799E+04   0.909291E+01   0.275211E-01   0.110378E+03
   304   0.357616E+04   0.926076E+01   0.276492E-01   0.110514E+03
   305   0.354436E+04   0.942842E+01   0.277767E-01   0.110622E+03
   306   0.351251E+04   0.959663E+01   0.279035E-01   0.110695E+03
   307   0.348069E+04   0.976539E+01   0.280296E-01   0.110725E+03
   308   0.344889E+04   0.993620E+01   0.281552E-01   0.110735E+03
   309   0.341718E+04   0.101061E+02   0.282800E-01   0.110695E+03
   310   0.338542E+04   0.102758E+02   0.284042E-01   0.110626E+03
   311   0.335376E+04   0.104475E+02   0.285278E-01   0.110516E+03
   312   0.332220E+04   0.106184E+02   0.286507E-01   0.110377E+03
   313   0.329065E+04   0.107898E+02   0.287730E-01   0.110196E+03
   314   0.325920E+04   0.109618E+02   0.288946E-01   0.109987E+03
   315   0.322784E+04   0.111328E+02   0.290156E-01   0.109736E+03
   316   0.319658E+04   0.113045E+02   0.291360E-01   0.109450E+03
   317   0.316540E+04   0.114753E+02   0.292557E-01   0.109129E+03
   318   0.313432E+04   0.116474E+02   0.293748E-01   0.108773E+03
   319   0.310341E+04   0.118186E+02   0.294933E-01   0.108382E+03
   320   0.307265E+04   0.119896E+02   0.296111E-01   0.107963E+03
   321   0.304199E+04   0.121613E+02   0.297284E-01   0.107502E+03
   322   0.301149E+04   0.123313E+02   0.298450E-01   0.107007E+03
   323   0.298116E+04   0.125012E+02   0.299610E-01   0.106476E+03
   324   0.295098E+04   0.126717E+02   0.300765E-01   0.105903E+03
   325   0.292104E+04   0.128392E+02   0.301914E-01   0.105311E+03
   326   0.289119E+04   0.130079E+02   0.303057E-01   0.104669E+03
   327   0.286157E+04   0.131758E+02   0.304194E-01   0.103999E+03
   328   0.283219E+04   0.133421E+02   0.305326E-01   0.103303E+03
   329   0.280297E+04   0.135083E+02   0.306452E-01   0.102564E+03
   330   0.277397E+04   0.136729E+02   0.307573E-01   0.101791E+03
   331   0.274529E+04   0.138367E+02   0.308689E-01   0.100991E+03
   332   0.271676E+04   0.140003E+02   0.309800E-01   0.100163E+03
   333   0.268846E+04   0.141623E+02   0.310906E-01   0.993012E+02
   334   0.266046E+04   0.143236E+02   0.312007E-01   0.984047E+02
   335   0.263262E+04   0.144825E+02   0.313103E-01   0.974738E+02
   336   0.260509E+04   0.146405E+02   0.314195E-01   0.965159E+02
   337   0.257785E+04   0.147978E+02   0.315283E-01   0.955162E+02
   338   0.255084E+04   0.149527E+02   0.316367E-01   0.944969E+02
   339   0.252421E+04   0.151075E+02   0.317446E-01   0.934433E+02
   340   0.249780E+04   0.152601E+02   0.318522E-01   0.923702E+02
   341   0.247162E+04   0.154103E+02   0.319594E-01   0.912555E+02
   342   0.244581E+04   0.155605E+02   0.320663E-01   0.901139E+02
   343   0.242030E+04   0.157077E+02   0.321728E-01   0.889454E+02
   344   0.239516E+04   0.158533E+02   0.322791E-01   0.877502E+02
   345   0.237025E+04   0.159967E+02   0.323850E-01   0.865282E+02
   346   0.234570E+04   0.161392E+02   0.324907E-01   0.852870E+02
   347   0.232145E+04   0.162787E+02   0.325961E-01   0.840115E+02
   348   0.229757E+04   0.164160E+02   0.327014E-01   0.827094E+02
   349   0.227398E+04   0.165517E+02   0.328064E-01   0.813807E+02
   350   0.225076E+04   0.166845E+02   0.329112E-01   0.800327E+02
   351   0.222805E+04   0.168157E+02   0.330159E-01   0.786580E+02
   352   0.220549E+04   0.169447E+02   0.331204E-01   0.772568E+02
   353   0.218337E+04   0.170707E+02   0.332248E-01   0.758437E+02
   354   0.216154E+04   0.171944E+02   0.333291E-01   0.743966E+02
   355   0.214015E+04   0.173160E+02   0.334334E-01   0.729301E+02
   356   0.211912E+04   0.174353E+02   0.335375E-01   0.714518E+02
   357   0.209846E+04   0.175517E+02   0.336417E-01   0.699467E+02
   358   0.207823E+04   0.176643E+02   0.337458E-01   0.684297E+02
   359   0.205829E+04   0.177748E+02   0.338500E-01   0.668858E+02
   360   0.203878E+04   0.178831E+02   0.339542E-01   0.653263E+02
   361   0.201964E+04   0.179885E+02   0.340584E-01   0.637467E+02
   362   0.200093E+04   0.180910E+02   0.341627E-01   0.621497E+02
   363   0.198259E+04   0.181913E+02   0.342672E-01   0.605378E+02
   364   0.196467E+04   0.182872E+02   0.343717E-01   0.589071E+02
   365   0.194711E+04   0.183810E+02   0.344764E-01   0.572636E+02
   366   0.192999E+04   0.184719E+02   0.345812E-01   0.556042E+02
