#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.127729E-01   0.149699E+08   0.137881E+08  -0.142062E+04  -0.257428E+04   0.802955E+07   0.147396E+08   0.147715E+08   0.147396E+08  -0.332692E+00   0.704537E+07   0.704474E+07   0.164571E+02
   0.141023E-01   0.143984E+08   0.132585E+08  -0.140195E+04  -0.203161E+04   0.732694E+07   0.141745E+08   0.142070E+08   0.141745E+08  -0.319936E+00   0.677558E+07   0.677495E+07   0.149488E+02
   0.155700E-01   0.137888E+08   0.126934E+08  -0.119080E+04  -0.159641E+04   0.662912E+07   0.135719E+08   0.136049E+08   0.135719E+08  -0.306334E+00   0.648786E+07   0.648723E+07   0.136024E+02
   0.171905E-01   0.131545E+08   0.121052E+08  -0.910269E+03  -0.124964E+04   0.595168E+07   0.129451E+08   0.129783E+08   0.129451E+08  -0.292187E+00   0.618857E+07   0.618793E+07   0.124016E+02
   0.189796E-01   0.124725E+08   0.114728E+08  -0.810259E+03  -0.972202E+03   0.528845E+07   0.122714E+08   0.123046E+08   0.122714E+08  -0.276982E+00   0.586684E+07   0.586620E+07   0.113058E+02
   0.209550E-01   0.117563E+08   0.108087E+08  -0.470225E+03  -0.751911E+03   0.465172E+07   0.115643E+08   0.115972E+08   0.115643E+08  -0.261021E+00   0.552909E+07   0.552845E+07   0.102988E+02
   0.231359E-01   0.110007E+08   0.101082E+08  -0.393636E+03  -0.577304E+03   0.404431E+07   0.108186E+08   0.108508E+08   0.108186E+08  -0.244190E+00   0.517286E+07   0.517221E+07   0.935195E+01
   0.255438E-01   0.102307E+08   0.939469E+07  -0.346834E+03  -0.440531E+03   0.347972E+07   0.100590E+08   0.100903E+08   0.100590E+08  -0.227045E+00   0.480995E+07   0.480930E+07   0.844975E+01
   0.282023E-01   0.945514E+07   0.867658E+07  -0.247732E+03  -0.334059E+03   0.296215E+07   0.929430E+07   0.932441E+07   0.929430E+07  -0.209784E+00   0.444453E+07   0.444389E+07   0.756817E+01
   0.311375E-01   0.867513E+07   0.795526E+07  -0.178086E+03  -0.251486E+03   0.249235E+07   0.852557E+07   0.855426E+07   0.852557E+07  -0.192433E+00   0.407716E+07   0.407653E+07   0.668542E+01
   0.343782E-01   0.791842E+07   0.725677E+07  -0.118899E+03  -0.188347E+03   0.207705E+07   0.778021E+07   0.780733E+07   0.778021E+07  -0.175609E+00   0.372091E+07   0.372031E+07   0.579432E+01
   0.379562E-01   0.720330E+07   0.659837E+07  -0.121442E+03  -0.140586E+03   0.171761E+07   0.707625E+07   0.710173E+07   0.707625E+07  -0.159720E+00   0.338441E+07   0.338386E+07   0.489423E+01
   0.419065E-01   0.654950E+07   0.599851E+07  -0.757012E+02  -0.104887E+03   0.141349E+07   0.643312E+07   0.645699E+07   0.643312E+07  -0.145204E+00   0.307697E+07   0.307647E+07   0.399948E+01
   0.460972E-01   0.598968E+07   0.548707E+07   0.710510E+02  -0.792958E+02   0.116964E+07   0.588288E+07   0.590529E+07   0.588288E+07  -0.132784E+00   0.281392E+07   0.281348E+07   0.317124E+01
   0.502878E-01   0.554721E+07   0.508467E+07   0.552809E+02  -0.617262E+02   0.985350E+06   0.544832E+07   0.546955E+07   0.544832E+07  -0.122976E+00   0.260616E+07   0.260579E+07   0.247867E+01
   0.544785E-01   0.518668E+07   0.475785E+07   0.440363E+02  -0.491911E+02   0.842057E+06   0.509446E+07   0.511468E+07   0.509446E+07  -0.114989E+00   0.243697E+07   0.243666E+07   0.192568E+01
   0.586691E-01   0.488063E+07   0.448057E+07   0.357262E+02  -0.399227E+02   0.727317E+06   0.479412E+07   0.481346E+07   0.479412E+07  -0.108209E+00   0.229337E+07   0.229310E+07   0.150876E+01
   0.628598E-01   0.460847E+07   0.423340E+07   0.293833E+02  -0.328456E+02   0.632823E+06   0.452698E+07   0.454550E+07   0.452698E+07  -0.102180E+00   0.216563E+07   0.216540E+07   0.121558E+01
   0.670504E-01   0.435227E+07   0.399956E+07   0.243863E+02  -0.272683E+02   0.552624E+06   0.427535E+07   0.429305E+07   0.427535E+07  -0.965001E-01   0.204530E+07   0.204510E+07   0.102584E+01
   0.712411E-01   0.410056E+07   0.376850E+07   0.203489E+02  -0.227606E+02   0.482992E+06   0.402795E+07   0.404480E+07   0.402795E+07  -0.909159E-01   0.192699E+07   0.192679E+07   0.914893E+00
   0.754317E-01   0.385478E+07   0.354180E+07   0.170592E+02  -0.190865E+02   0.422433E+06   0.378623E+07   0.380223E+07   0.378623E+07  -0.854602E-01   0.181139E+07   0.181120E+07   0.857964E+00
   0.796224E-01   0.360782E+07   0.331327E+07   0.143263E+02  -0.160333E+02   0.368839E+06   0.354327E+07   0.355837E+07   0.354327E+07  -0.799762E-01   0.169519E+07   0.169499E+07   0.829618E+00
   0.838130E-01   0.337051E+07   0.309332E+07   0.120757E+02  -0.135183E+02   0.322267E+06   0.330977E+07   0.332397E+07   0.330977E+07  -0.747057E-01   0.158350E+07   0.158330E+07   0.811053E+00
   0.880037E-01   0.314904E+07   0.288806E+07   0.102306E+02  -0.114556E+02   0.282261E+06   0.309186E+07   0.310522E+07   0.309186E+07  -0.697873E-01   0.147927E+07   0.147906E+07   0.788081E+00
   0.932263E-01   0.290282E+07   0.266033E+07   0.840133E+01  -0.940979E+01   0.240808E+06   0.284970E+07   0.286211E+07   0.284970E+07  -0.643214E-01   0.136344E+07   0.136323E+07   0.741430E+00
   0.984489E-01   0.269600E+07   0.246987E+07   0.699550E+01  -0.783692E+01   0.207649E+06   0.264643E+07   0.265803E+07   0.264643E+07  -0.597334E-01   0.126620E+07   0.126600E+07   0.671814E+00
   0.103672E+00   0.253048E+07   0.231845E+07   0.592066E+01  -0.663388E+01   0.181491E+06   0.248393E+07   0.249488E+07   0.248393E+07  -0.560655E-01   0.118847E+07   0.118829E+07   0.585422E+00
   0.108894E+00   0.240086E+07   0.220078E+07   0.509153E+01  -0.570555E+01   0.160782E+06   0.235682E+07   0.236726E+07   0.235682E+07  -0.531965E-01   0.112766E+07   0.112750E+07   0.493573E+00
   0.114117E+00   0.229579E+07   0.210601E+07   0.443358E+01  -0.496869E+01   0.143915E+06   0.225389E+07   0.226393E+07   0.225389E+07  -0.508733E-01   0.107842E+07   0.107828E+07   0.408156E+00
   0.119339E+00   0.220281E+07   0.202218E+07   0.389011E+01  -0.435997E+01   0.129551E+06   0.216281E+07   0.217248E+07   0.216281E+07  -0.488174E-01   0.103485E+07   0.103473E+07   0.338314E+00
   0.124562E+00   0.211211E+07   0.193995E+07   0.342385E+01  -0.383772E+01   0.116784E+06   0.207390E+07   0.208320E+07   0.207390E+07  -0.468105E-01   0.992316E+06   0.992208E+06   0.288617E+00
   0.129785E+00   0.201800E+07   0.185389E+07   0.301322E+01  -0.337780E+01   0.105105E+06   0.198152E+07   0.199044E+07   0.198152E+07  -0.447254E-01   0.948122E+06   0.948021E+06   0.258761E+00
   0.135007E+00   0.191888E+07   0.176259E+07   0.264759E+01  -0.296827E+01   0.943121E+05   0.188413E+07   0.189264E+07   0.188413E+07  -0.425272E-01   0.901529E+06   0.901430E+06   0.244550E+00
   0.140230E+00   0.181664E+07   0.166798E+07   0.232297E+01  -0.260466E+01   0.844000E+05   0.178360E+07   0.179168E+07   0.178360E+07  -0.402582E-01   0.853437E+06   0.853336E+06   0.239679E+00
   0.145453E+00   0.171537E+07   0.157408E+07   0.203842E+01  -0.228590E+01   0.754532E+05   0.168400E+07   0.169164E+07   0.168400E+07  -0.380100E-01   0.805782E+06   0.805678E+06   0.237647E+00
   0.150675E+00   0.162003E+07   0.148572E+07   0.179367E+01  -0.201169E+01   0.675706E+05   0.159023E+07   0.159748E+07   0.159023E+07  -0.358936E-01   0.760923E+06   0.760818E+06   0.233334E+00
   0.155898E+00   0.153521E+07   0.140735E+07   0.158759E+01  -0.178074E+01   0.608077E+05   0.150687E+07   0.151374E+07   0.150687E+07  -0.340120E-01   0.721037E+06   0.720933E+06   0.223876E+00
   0.161120E+00   0.146360E+07   0.134150E+07   0.141690E+01  -0.158940E+01   0.551285E+05   0.143653E+07   0.144310E+07   0.143653E+07  -0.324243E-01   0.687383E+06   0.687282E+06   0.208788E+00
   0.166343E+00   0.140486E+07   0.128784E+07   0.127597E+01  -0.143138E+01   0.503887E+05   0.137889E+07   0.138521E+07   0.137889E+07  -0.311233E-01   0.659806E+06   0.659712E+06   0.189476E+00
   0.171566E+00   0.135623E+07   0.124374E+07   0.115801E+01  -0.129909E+01   0.463797E+05   0.133123E+07   0.133734E+07   0.133123E+07  -0.300477E-01   0.637005E+06   0.636918E+06   0.168438E+00
   0.176788E+00   0.131409E+07   0.120567E+07   0.105678E+01  -0.118555E+01   0.428967E+05   0.128996E+07   0.129589E+07   0.128996E+07  -0.291160E-01   0.617254E+06   0.617176E+06   0.148393E+00
   0.182011E+00   0.127490E+07   0.117023E+07   0.967333E+00  -0.108522E+01   0.397700E+05   0.125156E+07   0.125733E+07   0.125156E+07  -0.282494E-01   0.598884E+06   0.598813E+06   0.131525E+00
   0.187234E+00   0.123557E+07   0.113447E+07   0.885949E+00  -0.993948E+00   0.368701E+05   0.121300E+07   0.121859E+07   0.121300E+07  -0.273790E-01   0.580433E+06   0.580367E+06   0.119001E+00
   0.192456E+00   0.119401E+07   0.109643E+07   0.810312E+00  -0.909128E+00   0.341167E+05   0.117222E+07   0.117763E+07   0.117222E+07  -0.264585E-01   0.560920E+06   0.560856E+06   0.110869E+00
   0.197679E+00   0.114990E+07   0.105581E+07   0.739646E+00  -0.829888E+00   0.314894E+05   0.112888E+07   0.113410E+07   0.112888E+07  -0.254803E-01   0.540185E+06   0.540122E+06   0.106280E+00
   0.202901E+00   0.110446E+07   0.101381E+07   0.674262E+00  -0.756573E+00   0.290128E+05   0.108422E+07   0.108924E+07   0.108422E+07  -0.244723E-01   0.518816E+06   0.518753E+06   0.103858E+00
   0.208124E+00   0.105960E+07   0.972292E+06   0.614758E+00  -0.689850E+00   0.267231E+05   0.104012E+07   0.104494E+07   0.104012E+07  -0.234769E-01   0.497715E+06   0.497652E+06   0.102121E+00
   0.213347E+00   0.101711E+07   0.932992E+06   0.561518E+00  -0.630144E+00   0.246481E+05   0.998355E+06   0.100299E+07   0.998355E+06  -0.225342E-01   0.477732E+06   0.477668E+06   0.998439E-01
   0.218569E+00   0.978415E+06   0.897288E+06   0.514617E+00  -0.577538E+00   0.228015E+05   0.960335E+06   0.964794E+06   0.960335E+06  -0.216760E-01   0.459540E+06   0.459477E+06   0.963032E-01
   0.223792E+00   0.944377E+06   0.866004E+06   0.473785E+00  -0.531733E+00   0.211812E+05   0.926911E+06   0.931218E+06   0.926911E+06  -0.209216E-01   0.443547E+06   0.443486E+06   0.913440E-01
   0.229015E+00   0.915010E+06   0.839143E+06   0.438354E+00  -0.491979E+00   0.197665E+05   0.898095E+06   0.902272E+06   0.898095E+06  -0.202712E-01   0.429758E+06   0.429700E+06   0.852885E-01
   0.234237E+00   0.889478E+06   0.815894E+06   0.407343E+00  -0.457180E+00   0.185204E+05   0.873059E+06   0.877122E+06   0.873059E+06  -0.197061E-01   0.417779E+06   0.417724E+06   0.787474E-01
