#    L    TT             EE             BB             TE          
   314   0.330680E+04   0.106338E+02   0.293963E-01   0.110056E+03
   315   0.327553E+04   0.108033E+02   0.295208E-01   0.109869E+03
   316   0.324433E+04   0.109735E+02   0.296446E-01   0.109648E+03
   317   0.321320E+04   0.111430E+02   0.297678E-01   0.109391E+03
   318   0.318216E+04   0.113138E+02   0.298903E-01   0.109100E+03
   319   0.315126E+04   0.114839E+02   0.300122E-01   0.108775E+03
   320   0.312050E+04   0.116539E+02   0.301335E-01   0.108422E+03
   321   0.308983E+04   0.118246E+02   0.302541E-01   0.108027E+03
   322   0.305930E+04   0.119938E+02   0.303741E-01   0.107598E+03
   323   0.302891E+04   0.121630E+02   0.304935E-01   0.107134E+03
   324   0.299867E+04   0.123329E+02   0.306122E-01   0.106627E+03
   325   0.296865E+04   0.124999E+02   0.307304E-01   0.106101E+03
   326   0.293870E+04   0.126683E+02   0.308479E-01   0.105526E+03
   327   0.290897E+04   0.128360E+02   0.309649E-01   0.104923E+03
   328   0.287946E+04   0.130022E+02   0.310813E-01   0.104293E+03
   329   0.285009E+04   0.131684E+02   0.311971E-01   0.103621E+03
   330   0.282094E+04   0.133331E+02   0.313124E-01   0.102914E+03
   331   0.279208E+04   0.134971E+02   0.314271E-01   0.102180E+03
   332   0.276335E+04   0.136611E+02   0.315413E-01   0.101419E+03
   333   0.273485E+04   0.138237E+02   0.316550E-01   0.100623E+03
   334   0.270663E+04   0.139856E+02   0.317682E-01   0.997918E+02
   335   0.267855E+04   0.141453E+02   0.318809E-01   0.989263E+02
   336   0.265075E+04   0.143043E+02   0.319931E-01   0.980336E+02
   337   0.262325E+04   0.144626E+02   0.321048E-01   0.970987E+02
   338   0.259595E+04   0.146187E+02   0.322161E-01   0.961440E+02
   339   0.256902E+04   0.147749E+02   0.323270E-01   0.951545E+02
   340   0.254229E+04   0.149290E+02   0.324375E-01   0.941452E+02
   341   0.251578E+04   0.150809E+02   0.325476E-01   0.930937E+02
   342   0.248962E+04   0.152329E+02   0.326573E-01   0.920148E+02
   343   0.246374E+04   0.153820E+02   0.327666E-01   0.909087E+02
   344   0.243822E+04   0.155297E+02   0.328756E-01   0.897752E+02
   345   0.241291E+04   0.156753E+02   0.329843E-01   0.886143E+02
   346   0.238795E+04   0.158202E+02   0.330927E-01   0.874336E+02
   347   0.236327E+04   0.159623E+02   0.332008E-01   0.862180E+02
   348   0.233895E+04   0.161022E+02   0.333087E-01   0.849750E+02
   349   0.231490E+04   0.162409E+02   0.334163E-01   0.837047E+02
   350   0.229121E+04   0.163766E+02   0.335237E-01   0.824144E+02
   351   0.226802E+04   0.165110E+02   0.336310E-01   0.810968E+02
   352   0.224495E+04   0.166434E+02   0.337380E-01   0.797516E+02
   353   0.222231E+04   0.167729E+02   0.338449E-01   0.783938E+02
   354   0.219995E+04   0.169003E+02   0.339517E-01   0.770011E+02
   355   0.217801E+04   0.170257E+02   0.340583E-01   0.755882E+02
   356   0.215643E+04   0.171489E+02   0.341649E-01   0.741626E+02
   357   0.213519E+04   0.172694E+02   0.342714E-01   0.727093E+02
   358   0.211438E+04   0.173864E+02   0.343779E-01   0.712431E+02
   359   0.209384E+04   0.175013E+02   0.344843E-01   0.697492E+02
   360   0.207373E+04   0.176141E+02   0.345908E-01   0.682386E+02
   361   0.205397E+04   0.177242E+02   0.346972E-01   0.667068E+02
   362   0.203463E+04   0.178314E+02   0.348037E-01   0.651568E+02
   363   0.201563E+04   0.179367E+02   0.349103E-01   0.635907E+02
   364   0.199707E+04   0.180377E+02   0.350169E-01   0.620048E+02
   365   0.197885E+04   0.181367E+02   0.351237E-01   0.604050E+02
   366   0.196105E+04   0.182329E+02   0.352306E-01   0.587882E+02
   367   0.194367E+04   0.183248E+02   0.353376E-01   0.571566E+02
   368   0.192657E+04   0.184148E+02   0.354448E-01   0.555117E+02
   369   0.191004E+04   0.185021E+02   0.355521E-01   0.538513E+02
   370   0.189386E+04   0.185858E+02   0.356597E-01   0.521803E+02
   371   0.187802E+04   0.186661E+02   0.357675E-01   0.504951E+02
   372   0.186261E+04   0.187436E+02   0.358755E-01   0.488001E+02
   373   0.184761E+04   0.188177E+02   0.359838E-01   0.470923E+02
   374   0.183304E+04   0.188891E+02   0.360924E-01   0.453753E+02
   375   0.181881E+04   0.189570E+02   0.362012E-01   0.436490E+02
   376   0.180508E+04   0.190222E+02   0.363104E-01   0.419135E+02
   377   0.179177E+04   0.190833E+02   0.364199E-01   0.401716E+02
   378   0.177881E+04   0.191409E+02   0.365297E-01   0.384203E+02
   379   0.176626E+04   0.191958E+02   0.366399E-01   0.366641E+02
   380   0.175421E+04   0.192480E+02   0.367505E-01   0.349006E+02
   381   0.174251E+04   0.192938E+02   0.368615E-01   0.331327E+02
   382   0.173115E+04   0.193385E+02   0.369729E-01   0.313613E+02
