#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    55   0.142620E+04  -0.398119E+00   0.676947E-03  -0.398119E+00   0.151052E+00  -0.798921E-06   0.676947E-03  -0.798921E-06   0.135097E-06
    56   0.144548E+04  -0.635876E+00   0.664575E-03  -0.635876E+00   0.159914E+00  -0.766641E-06   0.664575E-03  -0.766641E-06   0.134512E-06
    57   0.146503E+04  -0.885576E+00   0.652936E-03  -0.885576E+00   0.168919E+00  -0.750331E-06   0.652936E-03  -0.750331E-06   0.133916E-06
    58   0.148486E+04  -0.114765E+01   0.641865E-03  -0.114765E+01   0.178078E+00  -0.740073E-06   0.641865E-03  -0.740073E-06   0.133308E-06
    59   0.150484E+04  -0.142253E+01   0.631198E-03  -0.142253E+01   0.187428E+00  -0.725949E-06   0.631198E-03  -0.725949E-06   0.132690E-06
    60   0.152496E+04  -0.170925E+01   0.620768E-03  -0.170925E+01   0.197024E+00  -0.698042E-06   0.620768E-03  -0.698042E-06   0.132061E-06
    61   0.154553E+04  -0.200678E+01   0.610441E-03  -0.200678E+01   0.206959E+00  -0.649926E-06   0.610441E-03  -0.649926E-06   0.131423E-06
    62   0.156596E+04  -0.231627E+01   0.600196E-03  -0.231627E+01   0.217218E+00  -0.589137E-06   0.600196E-03  -0.589137E-06   0.130776E-06
    63   0.158649E+04  -0.263907E+01   0.590044E-03  -0.263907E+01   0.227759E+00  -0.526707E-06   0.590044E-03  -0.526707E-06   0.130122E-06
    64   0.160739E+04  -0.297675E+01   0.579995E-03  -0.297675E+01   0.238592E+00  -0.473665E-06   0.579995E-03  -0.473665E-06   0.129461E-06
    65   0.162832E+04  -0.333029E+01   0.570057E-03  -0.333029E+01   0.249689E+00  -0.441042E-06   0.570057E-03  -0.441042E-06   0.128795E-06
    66   0.164957E+04  -0.369807E+01   0.560251E-03  -0.369807E+01   0.260983E+00  -0.437387E-06   0.560251E-03  -0.437387E-06   0.128125E-06
    67   0.167096E+04  -0.407717E+01   0.550628E-03  -0.407717E+01   0.272475E+00  -0.461335E-06   0.550628E-03  -0.461335E-06   0.127451E-06
    68   0.169277E+04  -0.446566E+01   0.541252E-03  -0.446566E+01   0.284210E+00  -0.509040E-06   0.541252E-03  -0.509040E-06   0.126774E-06
    69   0.171475E+04  -0.486153E+01   0.532183E-03  -0.486153E+01   0.296148E+00  -0.576658E-06   0.532183E-03  -0.576658E-06   0.126093E-06
    70   0.173702E+04  -0.526618E+01   0.523484E-03  -0.526618E+01   0.308333E+00  -0.660342E-06   0.523484E-03  -0.660342E-06   0.125411E-06
    71   0.175943E+04  -0.568182E+01   0.515198E-03  -0.568182E+01   0.320755E+00  -0.754551E-06   0.515198E-03  -0.754551E-06   0.124726E-06
    72   0.178201E+04  -0.610981E+01   0.507296E-03  -0.610981E+01   0.333388E+00  -0.846958E-06   0.507296E-03  -0.846958E-06   0.124040E-06
    73   0.180472E+04  -0.655086E+01   0.499732E-03  -0.655086E+01   0.346197E+00  -0.923538E-06   0.499732E-03  -0.923538E-06   0.123352E-06
    74   0.182762E+04  -0.700417E+01   0.492457E-03  -0.700417E+01   0.359169E+00  -0.970267E-06   0.492457E-03  -0.970267E-06   0.122662E-06
    75   0.185082E+04  -0.746833E+01   0.485424E-03  -0.746833E+01   0.372314E+00  -0.973121E-06   0.485424E-03  -0.973121E-06   0.121971E-06
    76   0.187429E+04  -0.794280E+01   0.478591E-03  -0.794280E+01   0.385632E+00  -0.923211E-06   0.478591E-03  -0.923211E-06   0.121278E-06
    77   0.189807E+04  -0.842747E+01   0.471932E-03  -0.842747E+01   0.399115E+00  -0.832188E-06   0.471932E-03  -0.832188E-06   0.120584E-06
    78   0.192220E+04  -0.892381E+01   0.465425E-03  -0.892381E+01   0.412789E+00  -0.716838E-06   0.465425E-03  -0.716838E-06   0.119889E-06
    79   0.194650E+04  -0.942809E+01   0.459049E-03  -0.942809E+01   0.426598E+00  -0.593950E-06   0.459049E-03  -0.593950E-06   0.119193E-06
    80   0.197107E+04  -0.994179E+01   0.452783E-03  -0.994179E+01   0.440547E+00  -0.480308E-06   0.452783E-03  -0.480308E-06   0.118498E-06
    81   0.199581E+04  -0.104654E+02   0.446608E-03  -0.104654E+02   0.454584E+00  -0.390414E-06   0.446608E-03  -0.390414E-06   0.117803E-06
    82   0.202080E+04  -0.109981E+02   0.440513E-03  -0.109981E+02   0.468733E+00  -0.329626E-06   0.440513E-03  -0.329626E-06   0.117109E-06
    83   0.204596E+04  -0.115394E+02   0.434492E-03  -0.115394E+02   0.482967E+00  -0.301015E-06   0.434492E-03  -0.301015E-06   0.116416E-06
    84   0.207138E+04  -0.120875E+02   0.428538E-03  -0.120875E+02   0.497284E+00  -0.307653E-06   0.428538E-03  -0.307653E-06   0.115725E-06
    85   0.209691E+04  -0.126434E+02   0.422642E-03  -0.126434E+02   0.511659E+00  -0.352612E-06   0.422642E-03  -0.352612E-06   0.115035E-06
    86   0.212263E+04  -0.132061E+02   0.416803E-03  -0.132061E+02   0.526104E+00  -0.436299E-06   0.416803E-03  -0.436299E-06   0.114347E-06
    87   0.214877E+04  -0.137748E+02   0.411036E-03  -0.137748E+02   0.540590E+00  -0.548458E-06   0.411036E-03  -0.548458E-06   0.113662E-06
    88   0.217488E+04  -0.143495E+02   0.405365E-03  -0.143495E+02   0.555133E+00  -0.676168E-06   0.405365E-03  -0.676168E-06   0.112979E-06
    89   0.220134E+04  -0.149317E+02   0.399809E-03  -0.149317E+02   0.569718E+00  -0.806508E-06   0.399809E-03  -0.806508E-06   0.112298E-06
    90   0.222801E+04  -0.155184E+02   0.394391E-03  -0.155184E+02   0.584310E+00  -0.926557E-06   0.394391E-03  -0.926557E-06   0.111620E-06
    91   0.225480E+04  -0.161103E+02   0.389128E-03  -0.161103E+02   0.598902E+00  -0.102581E-05   0.389128E-03  -0.102581E-05   0.110944E-06
    92   0.228187E+04  -0.167069E+02   0.384017E-03  -0.167069E+02   0.613480E+00  -0.110346E-05   0.384017E-03  -0.110346E-05   0.110271E-06
    93   0.230923E+04  -0.173081E+02   0.379054E-03  -0.173081E+02   0.628037E+00  -0.116109E-05   0.379054E-03  -0.116109E-05   0.109601E-06
    94   0.233664E+04  -0.179126E+02   0.374232E-03  -0.179126E+02   0.642537E+00  -0.120032E-05   0.374232E-03  -0.120032E-05   0.108935E-06
    95   0.236434E+04  -0.185211E+02   0.369545E-03  -0.185211E+02   0.656981E+00  -0.122273E-05   0.369545E-03  -0.122273E-05   0.108271E-06
    96   0.239202E+04  -0.191330E+02   0.364986E-03  -0.191330E+02   0.671354E+00  -0.122993E-05   0.364986E-03  -0.122993E-05   0.107610E-06
    97   0.242014E+04  -0.197476E+02   0.360551E-03  -0.197476E+02   0.685643E+00  -0.122352E-05   0.360551E-03  -0.122352E-05   0.106952E-06
    98   0.244846E+04  -0.203627E+02   0.356233E-03  -0.203627E+02   0.699841E+00  -0.120510E-05   0.356233E-03  -0.120510E-05   0.106298E-06
    99   0.247686E+04  -0.209814E+02   0.352026E-03  -0.209814E+02   0.713911E+00  -0.117626E-05   0.352026E-03  -0.117626E-05   0.105647E-06
   100   0.250553E+04  -0.215992E+02   0.347924E-03  -0.215992E+02   0.727854E+00  -0.113862E-05   0.347924E-03  -0.113862E-05   0.104999E-06
   101   0.253435E+04  -0.222193E+02   0.343921E-03  -0.222193E+02   0.741730E+00  -0.109377E-05   0.343921E-03  -0.109377E-05   0.104354E-06
   102   0.256368E+04  -0.228394E+02   0.340011E-03  -0.228394E+02   0.755392E+00  -0.104331E-05   0.340011E-03  -0.104331E-05   0.103713E-06
   103   0.259293E+04  -0.234604E+02   0.336188E-03  -0.234604E+02   0.768915E+00  -0.988834E-06   0.336188E-03  -0.988834E-06   0.103076E-06
   104   0.262240E+04  -0.240794E+02   0.332446E-03  -0.240794E+02   0.782299E+00  -0.931952E-06   0.332446E-03  -0.931952E-06   0.102442E-06
   105   0.265201E+04  -0.246978E+02   0.328779E-03  -0.246978E+02   0.795471E+00  -0.874260E-06   0.328779E-03  -0.874260E-06   0.101812E-06
   106   0.268184E+04  -0.253151E+02   0.325181E-03  -0.253151E+02   0.808505E+00  -0.817359E-06   0.325181E-03  -0.817359E-06   0.101186E-06
   107   0.271159E+04  -0.259298E+02   0.321645E-03  -0.259298E+02   0.821255E+00  -0.762849E-06   0.321645E-03  -0.762849E-06   0.100563E-06
   108   0.274171E+04  -0.265427E+02   0.318167E-03  -0.265427E+02   0.833795E+00  -0.712330E-06   0.318167E-03  -0.712330E-06   0.999442E-07
   109   0.277198E+04  -0.271525E+02   0.314740E-03  -0.271525E+02   0.846051E+00  -0.667402E-06   0.314740E-03  -0.667402E-06   0.993295E-07
   110   0.280233E+04  -0.277576E+02   0.311357E-03  -0.277576E+02   0.858025E+00  -0.629665E-06   0.311357E-03  -0.629665E-06   0.987187E-07
   111   0.283282E+04  -0.283596E+02   0.308014E-03  -0.283596E+02   0.869792E+00  -0.600347E-06   0.308014E-03  -0.600347E-06   0.981120E-07
   112   0.286346E+04  -0.289578E+02   0.304711E-03  -0.289578E+02   0.881276E+00  -0.579186E-06   0.304711E-03  -0.579186E-06   0.975094E-07
   113   0.289433E+04  -0.295507E+02   0.301447E-03  -0.295507E+02   0.892479E+00  -0.565547E-06   0.301447E-03  -0.565547E-06   0.969109E-07
   114   0.292527E+04  -0.301376E+02   0.298223E-03  -0.301376E+02   0.903327E+00  -0.558796E-06   0.298223E-03  -0.558796E-06   0.963165E-07
   115   0.295643E+04  -0.307183E+02   0.295040E-03  -0.307183E+02   0.913969E+00  -0.558298E-06   0.295040E-03  -0.558298E-06   0.957261E-07
   116   0.298759E+04  -0.312923E+02   0.291898E-03  -0.312923E+02   0.924181E+00  -0.563418E-06   0.291898E-03  -0.563418E-06   0.951398E-07
   117   0.301904E+04  -0.318587E+02   0.288797E-03  -0.318587E+02   0.934038E+00  -0.573522E-06   0.288797E-03  -0.573522E-06   0.945577E-07
   118   0.305064E+04  -0.324182E+02   0.285738E-03  -0.324182E+02   0.943690E+00  -0.587975E-06   0.285738E-03  -0.587975E-06   0.939796E-07
   119   0.308224E+04  -0.329687E+02   0.282721E-03  -0.329687E+02   0.952988E+00  -0.606142E-06   0.282721E-03  -0.606142E-06   0.934056E-07
   120   0.311398E+04  -0.335101E+02   0.279746E-03  -0.335101E+02   0.961783E+00  -0.627390E-06   0.279746E-03  -0.627390E-06   0.928357E-07
   121   0.314572E+04  -0.340425E+02   0.276815E-03  -0.340425E+02   0.970373E+00  -0.651082E-06   0.276815E-03  -0.651082E-06   0.922699E-07
   122   0.317752E+04  -0.345649E+02   0.273927E-03  -0.345649E+02   0.978461E+00  -0.676585E-06   0.273927E-03  -0.676585E-06   0.917082E-07
   123   0.320940E+04  -0.350776E+02   0.271082E-03  -0.350776E+02   0.986122E+00  -0.703264E-06   0.271082E-03  -0.703264E-06   0.911506E-07
   124   0.324134E+04  -0.355774E+02   0.268282E-03  -0.355774E+02   0.993430E+00  -0.730485E-06   0.268282E-03  -0.730485E-06   0.905971E-07
   125   0.327328E+04  -0.360666E+02   0.265526E-03  -0.360666E+02   0.100031E+01  -0.757612E-06   0.265526E-03  -0.757612E-06   0.900477E-07
   126   0.330529E+04  -0.365445E+02   0.262815E-03  -0.365445E+02   0.100684E+01  -0.784011E-06   0.262815E-03  -0.784011E-06   0.895025E-07
   127   0.333728E+04  -0.370102E+02   0.260150E-03  -0.370102E+02   0.101287E+01  -0.809048E-06   0.260150E-03  -0.809048E-06   0.889613E-07
   128   0.336927E+04  -0.374631E+02   0.257531E-03  -0.374631E+02   0.101854E+01  -0.832087E-06   0.257531E-03  -0.832087E-06   0.884243E-07
   129   0.340133E+04  -0.379024E+02   0.254957E-03  -0.379024E+02   0.102372E+01  -0.852495E-06   0.254957E-03  -0.852495E-06   0.878913E-07
   130   0.343337E+04  -0.383274E+02   0.252431E-03  -0.383274E+02   0.102840E+01  -0.869636E-06   0.252431E-03  -0.869636E-06   0.873625E-07
   131   0.346541E+04  -0.387395E+02   0.249951E-03  -0.387395E+02   0.103272E+01  -0.883025E-06   0.249951E-03  -0.883025E-06   0.868378E-07
   132   0.349751E+04  -0.391357E+02   0.247516E-03  -0.391357E+02   0.103655E+01  -0.892770E-06   0.247516E-03  -0.892770E-06   0.863172E-07
   133   0.352953E+04  -0.395185E+02   0.245126E-03  -0.395185E+02   0.103995E+01  -0.899128E-06   0.245126E-03  -0.899128E-06   0.858007E-07
   134   0.356155E+04  -0.398833E+02   0.242777E-03  -0.398833E+02   0.104292E+01  -0.902356E-06   0.242777E-03  -0.902356E-06   0.852882E-07
   135   0.359356E+04  -0.402332E+02   0.240469E-03  -0.402332E+02   0.104539E+01  -0.902711E-06   0.240469E-03  -0.902711E-06   0.847797E-07
   136   0.362543E+04  -0.405646E+02   0.238200E-03  -0.405646E+02   0.104737E+01  -0.900450E-06   0.238200E-03  -0.900450E-06   0.842752E-07
   137   0.365729E+04  -0.408796E+02   0.235969E-03  -0.408796E+02   0.104892E+01  -0.895830E-06   0.235969E-03  -0.895830E-06   0.837746E-07
   138   0.368907E+04  -0.411769E+02   0.233773E-03  -0.411769E+02   0.104996E+01  -0.889107E-06   0.233773E-03  -0.889107E-06   0.832780E-07
   139   0.372064E+04  -0.414558E+02   0.231612E-03  -0.414558E+02   0.105066E+01  -0.880540E-06   0.231612E-03  -0.880540E-06   0.827853E-07
   140   0.375229E+04  -0.417171E+02   0.229483E-03  -0.417171E+02   0.105078E+01  -0.870385E-06   0.229483E-03  -0.870385E-06   0.822965E-07
   141   0.378371E+04  -0.419585E+02   0.227385E-03  -0.419585E+02   0.105039E+01  -0.858898E-06   0.227385E-03  -0.858898E-06   0.818116E-07
   142   0.381515E+04  -0.421809E+02   0.225316E-03  -0.421809E+02   0.104959E+01  -0.846337E-06   0.225316E-03  -0.846337E-06   0.813305E-07
   143   0.384652E+04  -0.423843E+02   0.223275E-03  -0.423843E+02   0.104835E+01  -0.832960E-06   0.223275E-03  -0.832960E-06   0.808531E-07
   144   0.387767E+04  -0.425680E+02   0.221261E-03  -0.425680E+02   0.104661E+01  -0.819022E-06   0.221261E-03  -0.819022E-06   0.803796E-07
   145   0.390869E+04  -0.427314E+02   0.219271E-03  -0.427314E+02   0.104452E+01  -0.804781E-06   0.219271E-03  -0.804781E-06   0.799098E-07
   146   0.393979E+04  -0.428745E+02   0.217303E-03  -0.428745E+02   0.104186E+01  -0.790494E-06   0.217303E-03  -0.790494E-06   0.794437E-07
   147   0.397054E+04  -0.429958E+02   0.215357E-03  -0.429958E+02   0.103884E+01  -0.776418E-06   0.215357E-03  -0.776418E-06   0.789813E-07
   148   0.400115E+04  -0.430968E+02   0.213431E-03  -0.430968E+02   0.103532E+01  -0.762810E-06   0.213431E-03  -0.762810E-06   0.785226E-07
   149   0.403171E+04  -0.431763E+02   0.211523E-03  -0.431763E+02   0.103137E+01  -0.749926E-06   0.211523E-03  -0.749926E-06   0.780676E-07
   150   0.406199E+04  -0.432318E+02   0.209632E-03  -0.432318E+02   0.102706E+01  -0.738025E-06   0.209632E-03  -0.738025E-06   0.776161E-07
   151   0.409214E+04  -0.432666E+02   0.207755E-03  -0.432666E+02   0.102233E+01  -0.727306E-06   0.207755E-03  -0.727306E-06   0.771683E-07
   152   0.412201E+04  -0.432791E+02   0.205894E-03  -0.432791E+02   0.101710E+01  -0.717748E-06   0.205894E-03  -0.717748E-06   0.767240E-07
   153   0.415175E+04  -0.432670E+02   0.204048E-03  -0.432670E+02   0.101151E+01  -0.709273E-06   0.204048E-03  -0.709273E-06   0.762833E-07
   154   0.418129E+04  -0.432325E+02   0.202218E-03  -0.432325E+02   0.100556E+01  -0.701803E-06   0.202218E-03  -0.701803E-06   0.758461E-07
   155   0.421062E+04  -0.431750E+02   0.200403E-03  -0.431750E+02   0.999250E+00  -0.695258E-06   0.200403E-03  -0.695258E-06   0.754124E-07
   156   0.423960E+04  -0.430944E+02   0.198604E-03  -0.430944E+02   0.992583E+00  -0.689562E-06   0.198604E-03  -0.689562E-06   0.749822E-07
   157   0.426852E+04  -0.429893E+02   0.196820E-03  -0.429893E+02   0.985556E+00  -0.684637E-06   0.196820E-03  -0.684637E-06   0.745554E-07
   158   0.429716E+04  -0.428603E+02   0.195054E-03  -0.428603E+02   0.978241E+00  -0.680403E-06   0.195054E-03  -0.680403E-06   0.741320E-07
   159   0.432552E+04  -0.427074E+02   0.193303E-03  -0.427074E+02   0.970488E+00  -0.676783E-06   0.193303E-03  -0.676783E-06   0.737121E-07
   160   0.435367E+04  -0.425292E+02   0.191569E-03  -0.425292E+02   0.962445E+00  -0.673699E-06   0.191569E-03  -0.673699E-06   0.732956E-07
   161   0.438161E+04  -0.423271E+02   0.189852E-03  -0.423271E+02   0.954186E+00  -0.671073E-06   0.189852E-03  -0.671073E-06   0.728824E-07
   162   0.440928E+04  -0.421012E+02   0.188151E-03  -0.421012E+02   0.945560E+00  -0.668826E-06   0.188151E-03  -0.668826E-06   0.724726E-07
   163   0.443680E+04  -0.418499E+02   0.186468E-03  -0.418499E+02   0.936640E+00  -0.666881E-06   0.186468E-03  -0.666881E-06   0.720661E-07
   164   0.446389E+04  -0.415747E+02   0.184802E-03  -0.415747E+02   0.927500E+00  -0.665159E-06   0.184802E-03  -0.665159E-06   0.716629E-07
   165   0.449085E+04  -0.412733E+02   0.183154E-03  -0.412733E+02   0.918064E+00  -0.663583E-06   0.183154E-03  -0.663583E-06   0.712630E-07
   166   0.451753E+04  -0.409474E+02   0.181523E-03  -0.409474E+02   0.908480E+00  -0.662073E-06   0.181523E-03  -0.662073E-06   0.708663E-07
   167   0.454399E+04  -0.405975E+02   0.179910E-03  -0.405975E+02   0.898524E+00  -0.660553E-06   0.179910E-03  -0.660553E-06   0.704728E-07
   168   0.457001E+04  -0.402215E+02   0.178315E-03  -0.402215E+02   0.888565E+00  -0.658944E-06   0.178315E-03  -0.658944E-06   0.700826E-07
   169   0.459576E+04  -0.398193E+02   0.176738E-03  -0.398193E+02   0.878306E+00  -0.657167E-06   0.176738E-03  -0.657167E-06   0.696955E-07
   170   0.462121E+04  -0.393924E+02   0.175180E-03  -0.393924E+02   0.867968E+00  -0.655145E-06   0.175180E-03  -0.655145E-06   0.693117E-07
   171   0.464623E+04  -0.389386E+02   0.173640E-03  -0.389386E+02   0.857550E+00  -0.652800E-06   0.173640E-03  -0.652800E-06   0.689309E-07
   172   0.467088E+04  -0.384594E+02   0.172119E-03  -0.384594E+02   0.846977E+00  -0.650053E-06   0.172119E-03  -0.650053E-06   0.685533E-07
   173   0.469510E+04  -0.379548E+02   0.170617E-03  -0.379548E+02   0.836248E+00  -0.646826E-06   0.170617E-03  -0.646826E-06   0.681787E-07
   174   0.471903E+04  -0.374247E+02   0.169133E-03  -0.374247E+02   0.825658E+00  -0.643042E-06   0.169133E-03  -0.643042E-06   0.678073E-07
   175   0.474260E+04  -0.368683E+02   0.167670E-03  -0.368683E+02   0.814909E+00  -0.638622E-06   0.167670E-03  -0.638622E-06   0.674389E-07
   176   0.476565E+04  -0.362858E+02   0.166225E-03  -0.362858E+02   0.804223E+00  -0.633505E-06   0.166225E-03  -0.633505E-06   0.670735E-07
   177   0.478834E+04  -0.356786E+02   0.164800E-03  -0.356786E+02   0.793523E+00  -0.627701E-06   0.164800E-03  -0.627701E-06   0.667111E-07
