#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.429432E-02   0.188742E+08   0.178294E+08  -0.463814E+04  -0.315294E+05   0.150641E+08   0.186815E+08   0.186987E+08   0.186815E+08  -0.421670E+00   0.903994E+07   0.903928E+07   0.512796E+02
   0.474153E-02   0.186448E+08   0.176123E+08  -0.717694E+04  -0.255498E+05   0.145807E+08   0.184530E+08   0.184715E+08   0.184530E+08  -0.416512E+00   0.892958E+07   0.892892E+07   0.460592E+02
   0.523532E-02   0.183921E+08   0.173730E+08  -0.927871E+04  -0.206751E+05   0.140666E+08   0.182014E+08   0.182210E+08   0.182014E+08  -0.410831E+00   0.880800E+07   0.880735E+07   0.415435E+02
   0.578053E-02   0.181147E+08   0.171102E+08  -0.596023E+04  -0.167046E+05   0.135212E+08   0.179251E+08   0.179460E+08   0.179251E+08  -0.404594E+00   0.867454E+07   0.867390E+07   0.374852E+02
   0.638252E-02   0.178115E+08   0.168230E+08  -0.614014E+04  -0.134743E+05   0.129139E+08   0.176231E+08   0.176455E+08   0.176231E+08  -0.397778E+00   0.852868E+07   0.852804E+07   0.337160E+02
   0.704720E-02   0.174801E+08   0.165090E+08  -0.466844E+04  -0.108480E+05   0.122924E+08   0.172932E+08   0.173170E+08   0.172932E+08  -0.390332E+00   0.836932E+07   0.836868E+07   0.303306E+02
   0.778110E-02   0.171195E+08   0.161672E+08  -0.483740E+04  -0.871574E+04   0.116442E+08   0.169344E+08   0.169596E+08   0.169344E+08  -0.382234E+00   0.819598E+07   0.819534E+07   0.273586E+02
   0.859144E-02   0.167282E+08   0.157963E+08  -0.428365E+04  -0.698672E+04   0.109783E+08   0.165453E+08   0.165718E+08   0.165453E+08  -0.373450E+00   0.800794E+07   0.800730E+07   0.246694E+02
   0.948616E-02   0.163050E+08   0.153949E+08  -0.308097E+04  -0.558674E+04   0.102954E+08   0.161244E+08   0.161521E+08   0.161244E+08  -0.363950E+00   0.780457E+07   0.780394E+07   0.222582E+02
   0.104741E-01   0.158483E+08   0.149617E+08  -0.283027E+04  -0.445495E+04   0.959492E+07   0.156706E+08   0.156995E+08   0.156706E+08  -0.353706E+00   0.758524E+07   0.758460E+07   0.201226E+02
   0.115648E-01   0.153570E+08   0.144955E+08  -0.231700E+04  -0.354151E+04   0.888207E+07   0.151824E+08   0.152123E+08   0.151824E+08  -0.342686E+00   0.734926E+07   0.734863E+07   0.182090E+02
   0.127692E-01   0.148295E+08   0.139948E+08  -0.166483E+04  -0.280567E+04   0.816583E+07   0.146585E+08   0.146894E+08   0.146585E+08  -0.330862E+00   0.709602E+07   0.709539E+07   0.165112E+02
   0.140990E-01   0.142650E+08   0.134588E+08  -0.160019E+04  -0.221417E+04   0.745127E+07   0.140980E+08   0.141296E+08   0.140980E+08  -0.318211E+00   0.682506E+07   0.682442E+07   0.149951E+02
   0.155673E-01   0.136627E+08   0.128868E+08  -0.142179E+04  -0.173984E+04   0.674126E+07   0.135002E+08   0.135324E+08   0.135002E+08  -0.304719E+00   0.653603E+07   0.653539E+07   0.136419E+02
   0.171885E-01   0.130358E+08   0.122912E+08  -0.968605E+03  -0.136190E+04   0.605162E+07   0.128783E+08   0.129108E+08   0.128783E+08  -0.290681E+00   0.623528E+07   0.623464E+07   0.124350E+02
   0.189785E-01   0.123617E+08   0.116508E+08  -0.875412E+03  -0.105954E+04   0.537633E+07   0.122098E+08   0.122423E+08   0.122098E+08  -0.275592E+00   0.591195E+07   0.591131E+07   0.113340E+02
   0.209549E-01   0.116537E+08   0.109781E+08  -0.523398E+03  -0.819472E+03   0.472789E+07   0.115080E+08   0.115402E+08   0.115080E+08  -0.259751E+00   0.557245E+07   0.557180E+07   0.103225E+02
   0.231372E-01   0.109065E+08   0.102685E+08  -0.445843E+03  -0.629207E+03   0.410929E+07   0.107677E+08   0.107994E+08   0.107677E+08  -0.243042E+00   0.521430E+07   0.521365E+07   0.937164E+01
   0.255467E-01   0.101449E+08   0.954545E+07  -0.358760E+03  -0.480157E+03   0.353424E+07   0.100135E+08   0.100443E+08   0.100135E+08  -0.226017E+00   0.484934E+07   0.484869E+07   0.846639E+01
   0.282072E-01   0.937760E+07   0.881748E+07  -0.250330E+03  -0.364123E+03   0.300710E+07   0.925385E+07   0.928355E+07   0.925385E+07  -0.208871E+00   0.448173E+07   0.448109E+07   0.758237E+01
   0.311447E-01   0.860561E+07   0.808604E+07  -0.215188E+03  -0.274132E+03   0.252869E+07   0.849002E+07   0.851837E+07   0.849002E+07  -0.191631E+00   0.411204E+07   0.411142E+07   0.669774E+01
   0.343881E-01   0.785637E+07   0.737744E+07  -0.141897E+03  -0.205316E+03   0.210586E+07   0.774912E+07   0.777595E+07   0.774912E+07  -0.174908E+00   0.375341E+07   0.375281E+07   0.580523E+01
   0.379694E-01   0.714797E+07   0.670917E+07  -0.110565E+03  -0.153255E+03   0.173998E+07   0.704905E+07   0.707429E+07   0.704905E+07  -0.159106E+00   0.341450E+07   0.341394E+07   0.490408E+01
   0.419235E-01   0.649996E+07   0.609996E+07  -0.828217E+02  -0.114338E+03   0.143049E+07   0.640913E+07   0.643280E+07   0.640913E+07  -0.144662E+00   0.310469E+07   0.310418E+07   0.400846E+01
   0.461159E-01   0.594505E+07   0.558049E+07   0.658588E+02  -0.864471E+02   0.118256E+07   0.586159E+07   0.588384E+07   0.586159E+07  -0.132304E+00   0.283959E+07   0.283915E+07   0.318010E+01
   0.503082E-01   0.550618E+07   0.517146E+07   0.512425E+02  -0.672956E+02   0.995217E+06   0.542889E+07   0.544998E+07   0.542889E+07  -0.122537E+00   0.263008E+07   0.262970E+07   0.248716E+01
   0.545006E-01   0.514843E+07   0.483910E+07   0.408193E+02  -0.536300E+02   0.849622E+06   0.507640E+07   0.509649E+07   0.507640E+07  -0.114581E+00   0.245939E+07   0.245907E+07   0.193363E+01
   0.586929E-01   0.484467E+07   0.455706E+07   0.331159E+02  -0.435251E+02   0.733120E+06   0.477715E+07   0.479638E+07   0.477715E+07  -0.107827E+00   0.231448E+07   0.231421E+07   0.151599E+01
   0.628853E-01   0.457460E+07   0.430571E+07   0.272364E+02  -0.358096E+02   0.637271E+06   0.451103E+07   0.452945E+07   0.451103E+07  -0.101820E+00   0.218561E+07   0.218538E+07   0.122195E+01
   0.670776E-01   0.432050E+07   0.406806E+07   0.226053E+02  -0.297303E+02   0.556029E+06   0.426050E+07   0.427811E+07   0.426050E+07  -0.961651E-01   0.206427E+07   0.206406E+07   0.103131E+01
   0.712700E-01   0.407100E+07   0.383341E+07   0.188643E+02  -0.248176E+02   0.485595E+06   0.401433E+07   0.403111E+07   0.401433E+07  -0.906087E-01   0.194504E+07   0.194485E+07   0.919495E+00
   0.754623E-01   0.382745E+07   0.360326E+07   0.158162E+02  -0.208138E+02   0.424416E+06   0.377388E+07   0.378981E+07   0.377388E+07  -0.851815E-01   0.182858E+07   0.182838E+07   0.861798E+00
   0.796547E-01   0.358279E+07   0.337130E+07   0.132842E+02  -0.174867E+02   0.370345E+06   0.353224E+07   0.354728E+07   0.353224E+07  -0.797274E-01   0.171153E+07   0.171133E+07   0.832842E+00
   0.838470E-01   0.334765E+07   0.314802E+07   0.111990E+02  -0.147459E+02   0.323406E+06   0.329997E+07   0.331413E+07   0.329997E+07  -0.744848E-01   0.159901E+07   0.159881E+07   0.813842E+00
   0.880394E-01   0.312814E+07   0.293960E+07   0.948912E+01  -0.124977E+02   0.283115E+06   0.308317E+07   0.309649E+07   0.308317E+07  -0.695913E-01   0.149399E+07   0.149378E+07   0.790606E+00
   0.932339E-01   0.288530E+07   0.270947E+07   0.780204E+01  -0.102785E+02   0.241610E+06   0.284340E+07   0.285578E+07   0.284340E+07  -0.641794E-01   0.137783E+07   0.137762E+07   0.744151E+00
   0.984284E-01   0.268085E+07   0.251656E+07   0.650294E+01  -0.856894E+01   0.208375E+06   0.264170E+07   0.265327E+07   0.264170E+07  -0.596266E-01   0.128011E+07   0.127991E+07   0.675097E+00
   0.103623E+00   0.251677E+07   0.236272E+07   0.550770E+01  -0.725870E+01   0.182122E+06   0.247998E+07   0.249091E+07   0.247998E+07  -0.559764E-01   0.120176E+07   0.120158E+07   0.589371E+00
   0.108817E+00   0.238797E+07   0.224288E+07   0.473885E+01  -0.624616E+01   0.161320E+06   0.235319E+07   0.236361E+07   0.235319E+07  -0.531146E-01   0.114033E+07   0.114017E+07   0.497998E+00
   0.114012E+00   0.228358E+07   0.214636E+07   0.412843E+01  -0.544205E+01   0.144384E+06   0.225053E+07   0.226054E+07   0.225053E+07  -0.507974E-01   0.109059E+07   0.109045E+07   0.412655E+00
   0.119207E+00   0.219146E+07   0.206124E+07   0.362438E+01  -0.477798E+01   0.129982E+06   0.215994E+07   0.216960E+07   0.215994E+07  -0.487528E-01   0.104670E+07   0.104658E+07   0.342425E+00
   0.124401E+00   0.210196E+07   0.197810E+07   0.319221E+01  -0.420860E+01   0.117204E+06   0.207187E+07   0.208116E+07   0.207187E+07  -0.467647E-01   0.100403E+07   0.100392E+07   0.291982E+00
   0.129596E+00   0.200934E+07   0.189136E+07   0.281175E+01  -0.370737E+01   0.105535E+06   0.198061E+07   0.198953E+07   0.198061E+07  -0.447050E-01   0.959813E+06   0.959712E+06   0.261236E+00
   0.134790E+00   0.191187E+07   0.179941E+07   0.247290E+01  -0.326096E+01   0.947576E+05   0.188447E+07   0.189298E+07   0.188447E+07  -0.425350E-01   0.913231E+06   0.913132E+06   0.246239E+00
   0.139985E+00   0.181120E+07   0.170398E+07   0.217172E+01  -0.286417E+01   0.848562E+05   0.178511E+07   0.179319E+07   0.178511E+07  -0.402923E-01   0.865086E+06   0.864985E+06   0.240879E+00
   0.145179E+00   0.171118E+07   0.160898E+07   0.190725E+01  -0.251571E+01   0.759065E+05   0.168636E+07   0.169402E+07   0.168636E+07  -0.380633E-01   0.817236E+06   0.817132E+06   0.238745E+00
   0.150374E+00   0.161660E+07   0.151917E+07   0.167921E+01  -0.221518E+01   0.680028E+05   0.159299E+07   0.160024E+07   0.159299E+07  -0.359558E-01   0.771993E+06   0.771887E+06   0.234680E+00
