#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   135   0.362541E+04  -0.405291E+02   0.240536E-03  -0.405291E+02   0.104702E+01  -0.865261E-06   0.240536E-03  -0.865261E-06   0.832430E-07
   136   0.365748E+04  -0.408490E+02   0.238265E-03  -0.408490E+02   0.104864E+01  -0.864360E-06   0.238265E-03  -0.864360E-06   0.827434E-07
   137   0.368954E+04  -0.411521E+02   0.236030E-03  -0.411521E+02   0.104983E+01  -0.861284E-06   0.236030E-03  -0.861284E-06   0.822478E-07
   138   0.372152E+04  -0.414369E+02   0.233829E-03  -0.414369E+02   0.105051E+01  -0.856266E-06   0.233829E-03  -0.856266E-06   0.817561E-07
   139   0.375326E+04  -0.417027E+02   0.231662E-03  -0.417027E+02   0.105084E+01  -0.849543E-06   0.231662E-03  -0.849543E-06   0.812683E-07
   140   0.378508E+04  -0.419503E+02   0.229527E-03  -0.419503E+02   0.105058E+01  -0.841351E-06   0.229527E-03  -0.841351E-06   0.807844E-07
   141   0.381668E+04  -0.421776E+02   0.227422E-03  -0.421776E+02   0.104983E+01  -0.831924E-06   0.227422E-03  -0.831924E-06   0.803044E-07
   142   0.384827E+04  -0.423852E+02   0.225346E-03  -0.423852E+02   0.104864E+01  -0.821498E-06   0.225346E-03  -0.821498E-06   0.798282E-07
   143   0.387978E+04  -0.425734E+02   0.223298E-03  -0.425734E+02   0.104702E+01  -0.810309E-06   0.223298E-03  -0.810309E-06   0.793558E-07
   144   0.391108E+04  -0.427413E+02   0.221276E-03  -0.427413E+02   0.104490E+01  -0.798592E-06   0.221276E-03  -0.798592E-06   0.788872E-07
   145   0.394223E+04  -0.428883E+02   0.219278E-03  -0.428883E+02   0.104243E+01  -0.786583E-06   0.219278E-03  -0.786583E-06   0.784223E-07
   146   0.397345E+04  -0.430144E+02   0.217303E-03  -0.430144E+02   0.103937E+01  -0.774517E-06   0.217303E-03  -0.774517E-06   0.779612E-07
   147   0.400431E+04  -0.431183E+02   0.215350E-03  -0.431183E+02   0.103597E+01  -0.762630E-06   0.215350E-03  -0.762630E-06   0.775037E-07
   148   0.403503E+04  -0.432013E+02   0.213418E-03  -0.432013E+02   0.103206E+01  -0.751157E-06   0.213418E-03  -0.751157E-06   0.770499E-07
   149   0.406568E+04  -0.432621E+02   0.211504E-03  -0.432621E+02   0.102773E+01  -0.740334E-06   0.211504E-03  -0.740334E-06   0.765998E-07
   150   0.409604E+04  -0.432986E+02   0.209608E-03  -0.432986E+02   0.102304E+01  -0.730396E-06   0.209608E-03  -0.730396E-06   0.761533E-07
   151   0.412626E+04  -0.433136E+02   0.207727E-03  -0.433136E+02   0.101793E+01  -0.721527E-06   0.207727E-03  -0.721527E-06   0.757103E-07
   152   0.415620E+04  -0.433058E+02   0.205863E-03  -0.433058E+02   0.101231E+01  -0.713702E-06   0.205863E-03  -0.713702E-06   0.752710E-07
   153   0.418599E+04  -0.432730E+02   0.204015E-03  -0.432730E+02   0.100635E+01  -0.706844E-06   0.204015E-03  -0.706844E-06   0.748352E-07
   154   0.421557E+04  -0.432172E+02   0.202183E-03  -0.432172E+02   0.100003E+01  -0.700877E-06   0.202183E-03  -0.700877E-06   0.744029E-07
   155   0.424494E+04  -0.431379E+02   0.200367E-03  -0.431379E+02   0.993359E+00  -0.695725E-06   0.200367E-03  -0.695725E-06   0.739741E-07
   156   0.427394E+04  -0.430350E+02   0.198569E-03  -0.430350E+02   0.986335E+00  -0.691311E-06   0.198569E-03  -0.691311E-06   0.735488E-07
   157   0.430287E+04  -0.429070E+02   0.196787E-03  -0.429070E+02   0.978957E+00  -0.687558E-06   0.196787E-03  -0.687558E-06   0.731269E-07
   158   0.433151E+04  -0.427546E+02   0.195022E-03  -0.427546E+02   0.971300E+00  -0.684391E-06   0.195022E-03  -0.684391E-06   0.727085E-07
   159   0.435986E+04  -0.425780E+02   0.193274E-03  -0.425780E+02   0.963215E+00  -0.681731E-06   0.193274E-03  -0.681731E-06   0.722935E-07
   160   0.438798E+04  -0.423755E+02   0.191543E-03  -0.423755E+02   0.954850E+00  -0.679504E-06   0.191543E-03  -0.679504E-06   0.718818E-07
   161   0.441589E+04  -0.421487E+02   0.189830E-03  -0.421487E+02   0.946280E+00  -0.677632E-06   0.189830E-03  -0.677632E-06   0.714736E-07
   162   0.444351E+04  -0.418976E+02   0.188134E-03  -0.418976E+02   0.937354E+00  -0.676038E-06   0.188134E-03  -0.676038E-06   0.710686E-07
   163   0.447098E+04  -0.416207E+02   0.186456E-03  -0.416207E+02   0.928148E+00  -0.674647E-06   0.186456E-03  -0.674647E-06   0.706670E-07
   164   0.449800E+04  -0.413195E+02   0.184796E-03  -0.413195E+02   0.918736E+00  -0.673381E-06   0.184796E-03  -0.673381E-06   0.702687E-07
   165   0.452488E+04  -0.409917E+02   0.183153E-03  -0.409917E+02   0.909043E+00  -0.672165E-06   0.183153E-03  -0.672165E-06   0.698737E-07
   166   0.455146E+04  -0.406389E+02   0.181529E-03  -0.406389E+02   0.899216E+00  -0.670921E-06   0.181529E-03  -0.670921E-06   0.694819E-07
   167   0.457781E+04  -0.402617E+02   0.179923E-03  -0.402617E+02   0.889034E+00  -0.669573E-06   0.179923E-03  -0.669573E-06   0.690933E-07
   168   0.460372E+04  -0.398580E+02   0.178336E-03  -0.398580E+02   0.878868E+00  -0.668045E-06   0.178336E-03  -0.668045E-06   0.687079E-07
   169   0.462934E+04  -0.394278E+02   0.176767E-03  -0.394278E+02   0.868419E+00  -0.666260E-06   0.176767E-03  -0.666260E-06   0.683257E-07
   170   0.465465E+04  -0.389726E+02   0.175216E-03  -0.389726E+02   0.857911E+00  -0.664141E-06   0.175216E-03  -0.664141E-06   0.679467E-07
   171   0.467951E+04  -0.384900E+02   0.173685E-03  -0.384900E+02   0.847343E+00  -0.661612E-06   0.173685E-03  -0.661612E-06   0.675708E-07
   172   0.470400E+04  -0.379817E+02   0.172173E-03  -0.379817E+02   0.836641E+00  -0.658597E-06   0.172173E-03  -0.658597E-06   0.671981E-07
   173   0.472804E+04  -0.374476E+02   0.170680E-03  -0.374476E+02   0.825804E+00  -0.655018E-06   0.170680E-03  -0.655018E-06   0.668284E-07
   174   0.475177E+04  -0.368878E+02   0.169206E-03  -0.368878E+02   0.815130E+00  -0.650800E-06   0.169206E-03  -0.650800E-06   0.664617E-07
   175   0.477513E+04  -0.363014E+02   0.167752E-03  -0.363014E+02   0.804321E+00  -0.645865E-06   0.167752E-03  -0.645865E-06   0.660982E-07
   176   0.479797E+04  -0.356884E+02   0.166317E-03  -0.356884E+02   0.793599E+00  -0.640156E-06   0.166317E-03  -0.640156E-06   0.657376E-07
   177   0.482043E+04  -0.350505E+02   0.164901E-03  -0.350505E+02   0.782890E+00  -0.633687E-06   0.164901E-03  -0.633687E-06   0.653800E-07
