#    L    TT             EE             BB             TE          
   232    0.52861E+04    0.12335E+01    0.16916E-01    0.32920E+02
   233    0.52781E+04    0.12772E+01    0.17068E-01    0.34503E+02
   234    0.52693E+04    0.13227E+01    0.17220E-01    0.36088E+02
   235    0.52601E+04    0.13701E+01    0.17372E-01    0.37674E+02
   236    0.52502E+04    0.14193E+01    0.17524E-01    0.39260E+02
   237    0.52397E+04    0.14704E+01    0.17677E-01    0.40845E+02
   238    0.52287E+04    0.15236E+01    0.17829E-01    0.42429E+02
   239    0.52172E+04    0.15785E+01    0.17982E-01    0.44011E+02
   240    0.52050E+04    0.16354E+01    0.18135E-01    0.45589E+02
   241    0.51924E+04    0.16944E+01    0.18288E-01    0.47164E+02
   242    0.51791E+04    0.17552E+01    0.18441E-01    0.48735E+02
   243    0.51654E+04    0.18181E+01    0.18594E-01    0.50300E+02
   244    0.51510E+04    0.18830E+01    0.18747E-01    0.51861E+02
   245    0.51361E+04    0.19500E+01    0.18899E-01    0.53414E+02
   246    0.51207E+04    0.20190E+01    0.19052E-01    0.54961E+02
   247    0.51048E+04    0.20900E+01    0.19205E-01    0.56499E+02
   248    0.50884E+04    0.21633E+01    0.19358E-01    0.58029E+02
   249    0.50715E+04    0.22384E+01    0.19511E-01    0.59551E+02
   250    0.50540E+04    0.23158E+01    0.19663E-01    0.61061E+02
   251    0.50362E+04    0.23951E+01    0.19816E-01    0.62562E+02
   252    0.50177E+04    0.24767E+01    0.19968E-01    0.64052E+02
   253    0.49989E+04    0.25602E+01    0.20120E-01    0.65529E+02
   254    0.49796E+04    0.26459E+01    0.20272E-01    0.66993E+02
   255    0.49598E+04    0.27336E+01    0.20423E-01    0.68445E+02
   256    0.49395E+04    0.28236E+01    0.20575E-01    0.69884E+02
   257    0.49189E+04    0.29155E+01    0.20726E-01    0.71303E+02
   258    0.48977E+04    0.30097E+01    0.20877E-01    0.72713E+02
   259    0.48762E+04    0.31059E+01    0.21028E-01    0.74101E+02
   260    0.48543E+04    0.32043E+01    0.21178E-01    0.75481E+02
   261    0.48319E+04    0.33046E+01    0.21328E-01    0.76831E+02
   262    0.48090E+04    0.34072E+01    0.21477E-01    0.78173E+02
   263    0.47860E+04    0.35118E+01    0.21627E-01    0.79500E+02
   264    0.47625E+04    0.36185E+01    0.21776E-01    0.80804E+02
   265    0.47384E+04    0.37272E+01    0.21924E-01    0.82078E+02
   266    0.47141E+04    0.38381E+01    0.22072E-01    0.83345E+02
   267    0.46893E+04    0.39509E+01    0.22220E-01    0.84582E+02
   268    0.46641E+04    0.40659E+01    0.22367E-01    0.85803E+02
   269    0.46385E+04    0.41829E+01    0.22514E-01    0.87003E+02
   270    0.46127E+04    0.43018E+01    0.22660E-01    0.88180E+02
   271    0.45864E+04    0.44227E+01    0.22806E-01    0.89335E+02
   272    0.45600E+04    0.45458E+01    0.22951E-01    0.90460E+02
   273    0.45331E+04    0.46705E+01    0.23096E-01    0.91571E+02
   274    0.45060E+04    0.47974E+01    0.23241E-01    0.92644E+02
   275    0.44785E+04    0.49261E+01    0.23384E-01    0.93703E+02
   276    0.44508E+04    0.50566E+01    0.23528E-01    0.94725E+02
   277    0.44228E+04    0.51891E+01    0.23671E-01    0.95732E+02
   278    0.43945E+04    0.53234E+01    0.23813E-01    0.96703E+02
   279    0.43659E+04    0.54594E+01    0.23955E-01    0.97644E+02
   280    0.43371E+04    0.55972E+01    0.24096E-01    0.98571E+02
   281    0.43082E+04    0.57369E+01    0.24236E-01    0.99462E+02
   282    0.42789E+04    0.58781E+01    0.24376E-01    0.10032E+03
   283    0.42494E+04    0.60210E+01    0.24516E-01    0.10115E+03
   284    0.42197E+04    0.61656E+01    0.24655E-01    0.10196E+03
   285    0.41899E+04    0.63119E+01    0.24793E-01    0.10273E+03
   286    0.41598E+04    0.64598E+01    0.24931E-01    0.10347E+03
   287    0.41294E+04    0.66091E+01    0.25068E-01    0.10418E+03
   288    0.40990E+04    0.67600E+01    0.25204E-01    0.10486E+03
   289    0.40684E+04    0.69123E+01    0.25340E-01    0.10551E+03
   290    0.40376E+04    0.70660E+01    0.25475E-01    0.10614E+03
   291    0.40068E+04    0.72216E+01    0.25610E-01    0.10671E+03
   292    0.39755E+04    0.73782E+01    0.25744E-01    0.10727E+03
   293    0.39444E+04    0.75354E+01    0.25877E-01    0.10779E+03
   294    0.39130E+04    0.76946E+01    0.26010E-01    0.10828E+03
   295    0.38817E+04    0.78543E+01    0.26142E-01    0.10873E+03
   296    0.38502E+04    0.80161E+01    0.26274E-01    0.10915E+03
   297    0.38186E+04    0.81776E+01    0.26404E-01    0.10954E+03
   298    0.37868E+04    0.83412E+01    0.26535E-01    0.10989E+03
   299    0.37550E+04    0.85061E+01    0.26664E-01    0.11020E+03
   300    0.37231E+04    0.86708E+01    0.26793E-01    0.11048E+03
   301    0.36912E+04    0.88368E+01    0.26921E-01    0.11073E+03
   302    0.36593E+04    0.90033E+01    0.27049E-01    0.11095E+03
   303    0.36274E+04    0.91711E+01    0.27176E-01    0.11112E+03
   304    0.35954E+04    0.93402E+01    0.27302E-01    0.11126E+03
   305    0.35634E+04    0.95091E+01    0.27428E-01    0.11136E+03
   306    0.35314E+04    0.96786E+01    0.27553E-01    0.11143E+03
   307    0.34994E+04    0.98486E+01    0.27677E-01    0.11146E+03
   308    0.34674E+04    0.10021E+02    0.27801E-01    0.11147E+03
   309    0.34355E+04    0.10192E+02    0.27924E-01    0.11142E+03
   310    0.34036E+04    0.10363E+02    0.28047E-01    0.11135E+03
   311    0.33718E+04    0.10536E+02    0.28168E-01    0.11124E+03
   312    0.33400E+04    0.10708E+02    0.28289E-01    0.11110E+03
   313    0.33083E+04    0.10881E+02    0.28410E-01    0.11091E+03
   314    0.32767E+04    0.11054E+02    0.28530E-01    0.11070E+03
   315    0.32452E+04    0.11226E+02    0.28649E-01    0.11044E+03
   316    0.32137E+04    0.11399E+02    0.28768E-01    0.11015E+03
   317    0.31824E+04    0.11571E+02    0.28885E-01    0.10983E+03
   318    0.31511E+04    0.11744E+02    0.29003E-01    0.10947E+03
   319    0.31200E+04    0.11917E+02    0.29119E-01    0.10907E+03
   320    0.30891E+04    0.12089E+02    0.29236E-01    0.10865E+03
   321    0.30583E+04    0.12262E+02    0.29351E-01    0.10818E+03
   322    0.30276E+04    0.12433E+02    0.29466E-01    0.10768E+03
   323    0.29971E+04    0.12605E+02    0.29580E-01    0.10715E+03
   324    0.29668E+04    0.12776E+02    0.29694E-01    0.10657E+03
   325    0.29367E+04    0.12945E+02    0.29807E-01    0.10597E+03
   326    0.29067E+04    0.13115E+02    0.29919E-01    0.10532E+03
   327    0.28769E+04    0.13284E+02    0.30031E-01    0.10464E+03
   328    0.28474E+04    0.13452E+02    0.30143E-01    0.10394E+03
   329    0.28180E+04    0.13619E+02    0.30253E-01    0.10320E+03
   330    0.27888E+04    0.13785E+02    0.30364E-01    0.10242E+03
   331    0.27600E+04    0.13950E+02    0.30474E-01    0.10161E+03
   332    0.27313E+04    0.14114E+02    0.30583E-01    0.10077E+03
   333    0.27028E+04    0.14278E+02    0.30692E-01    0.99904E+02
   334    0.26747E+04    0.14440E+02    0.30800E-01    0.99000E+02
   335    0.26467E+04    0.14600E+02    0.30908E-01    0.98062E+02
   336    0.26190E+04    0.14759E+02    0.31015E-01    0.97096E+02
   337    0.25916E+04    0.14918E+02    0.31122E-01    0.96088E+02
   338    0.25645E+04    0.15074E+02    0.31229E-01    0.95061E+02
   339    0.25377E+04    0.15230E+02    0.31335E-01    0.93999E+02
   340    0.25111E+04    0.15383E+02    0.31440E-01    0.92917E+02
   341    0.24848E+04    0.15535E+02    0.31546E-01    0.91794E+02
   342    0.24589E+04    0.15686E+02    0.31651E-01    0.90643E+02
   343    0.24332E+04    0.15834E+02    0.31756E-01    0.89466E+02
   344    0.24079E+04    0.15981E+02    0.31860E-01    0.88261E+02
   345    0.23829E+04    0.16125E+02    0.31964E-01    0.87030E+02
   346    0.23582E+04    0.16269E+02    0.32068E-01    0.85779E+02
   347    0.23338E+04    0.16409E+02    0.32171E-01    0.84494E+02
   348    0.23098E+04    0.16548E+02    0.32275E-01    0.83183E+02
   349    0.22861E+04    0.16684E+02    0.32378E-01    0.81844E+02
   350    0.22628E+04    0.16818E+02    0.32481E-01    0.80486E+02
   351    0.22399E+04    0.16950E+02    0.32584E-01    0.79101E+02
   352    0.22172E+04    0.17080E+02    0.32686E-01    0.77690E+02
   353    0.21950E+04    0.17207E+02    0.32789E-01    0.76266E+02
   354    0.21730E+04    0.17332E+02    0.32891E-01    0.74808E+02
   355    0.21515E+04    0.17454E+02    0.32993E-01    0.73331E+02
   356    0.21304E+04    0.17574E+02    0.33096E-01    0.71842E+02
   357    0.21096E+04    0.17692E+02    0.33198E-01    0.70326E+02
   358    0.20893E+04    0.17805E+02    0.33300E-01    0.68798E+02
   359    0.20692E+04    0.17916E+02    0.33402E-01    0.67243E+02
   360    0.20496E+04    0.18026E+02    0.33505E-01    0.65672E+02
   361    0.20304E+04    0.18132E+02    0.33607E-01    0.64081E+02
   362    0.20116E+04    0.18235E+02    0.33709E-01    0.62473E+02
   363    0.19931E+04    0.18336E+02    0.33812E-01    0.60849E+02
   364    0.19751E+04    0.18433E+02    0.33914E-01    0.59207E+02
   365    0.19574E+04    0.18527E+02    0.34017E-01    0.57552E+02
   366    0.19402E+04    0.18619E+02    0.34120E-01    0.55881E+02
   367    0.19234E+04    0.18706E+02    0.34223E-01    0.54196E+02
   368    0.19069E+04    0.18791E+02    0.34326E-01    0.52499E+02
   369    0.18910E+04    0.18873E+02    0.34429E-01    0.50787E+02
