#    L    TT             EE             BB             TE             PP             TP             EP          
   135    0.37413E+04    0.10471E+01    0.00000E+00   -0.41185E+02    0.77107E-07    0.26183E-03   -0.83568E-06
   136    0.37744E+04    0.10487E+01    0.00000E+00   -0.41505E+02    0.76624E-07    0.25922E-03   -0.83597E-06
   137    0.38075E+04    0.10499E+01    0.00000E+00   -0.41808E+02    0.76146E-07    0.25665E-03   -0.83457E-06
   138    0.38405E+04    0.10506E+01    0.00000E+00   -0.42093E+02    0.75671E-07    0.25412E-03   -0.83166E-06
   139    0.38733E+04    0.10510E+01    0.00000E+00   -0.42358E+02    0.75200E-07    0.25163E-03   -0.82741E-06
   140    0.39061E+04    0.10507E+01    0.00000E+00   -0.42605E+02    0.74733E-07    0.24918E-03   -0.82201E-06
   141    0.39387E+04    0.10500E+01    0.00000E+00   -0.42831E+02    0.74270E-07    0.24676E-03   -0.81563E-06
   142    0.39713E+04    0.10488E+01    0.00000E+00   -0.43037E+02    0.73811E-07    0.24438E-03   -0.80846E-06
   143    0.40038E+04    0.10472E+01    0.00000E+00   -0.43223E+02    0.73356E-07    0.24203E-03   -0.80065E-06
   144    0.40361E+04    0.10451E+01    0.00000E+00   -0.43388E+02    0.72904E-07    0.23972E-03   -0.79241E-06
   145    0.40682E+04    0.10426E+01    0.00000E+00   -0.43532E+02    0.72457E-07    0.23743E-03   -0.78389E-06
   146    0.41004E+04    0.10396E+01    0.00000E+00   -0.43655E+02    0.72013E-07    0.23517E-03   -0.77529E-06
   147    0.41323E+04    0.10362E+01    0.00000E+00   -0.43755E+02    0.71573E-07    0.23294E-03   -0.76677E-06
   148    0.41639E+04    0.10323E+01    0.00000E+00   -0.43834E+02    0.71136E-07    0.23073E-03   -0.75852E-06
   149    0.41955E+04    0.10280E+01    0.00000E+00   -0.43891E+02    0.70704E-07    0.22855E-03   -0.75070E-06
   150    0.42269E+04    0.10234E+01    0.00000E+00   -0.43922E+02    0.70275E-07    0.22639E-03   -0.74351E-06
   151    0.42580E+04    0.10183E+01    0.00000E+00   -0.43932E+02    0.69849E-07    0.22425E-03   -0.73707E-06
   152    0.42889E+04    0.10127E+01    0.00000E+00   -0.43919E+02    0.69427E-07    0.22214E-03   -0.73136E-06
   153    0.43196E+04    0.10068E+01    0.00000E+00   -0.43880E+02    0.69009E-07    0.22004E-03   -0.72632E-06
   154    0.43501E+04    0.10005E+01    0.00000E+00   -0.43818E+02    0.68594E-07    0.21797E-03   -0.72188E-06
   155    0.43804E+04    0.99387E+00    0.00000E+00   -0.43731E+02    0.68183E-07    0.21592E-03   -0.71798E-06
   156    0.44103E+04    0.98690E+00    0.00000E+00   -0.43621E+02    0.67775E-07    0.21389E-03   -0.71456E-06
   157    0.44402E+04    0.97957E+00    0.00000E+00   -0.43485E+02    0.67371E-07    0.21188E-03   -0.71156E-06
   158    0.44697E+04    0.97196E+00    0.00000E+00   -0.43324E+02    0.66970E-07    0.20989E-03   -0.70890E-06
   159    0.44990E+04    0.96394E+00    0.00000E+00   -0.43139E+02    0.66573E-07    0.20793E-03   -0.70653E-06
   160    0.45280E+04    0.95564E+00    0.00000E+00   -0.42927E+02    0.66179E-07    0.20598E-03   -0.70438E-06
