#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    81    0.20222E+04   -0.10812E+02    0.61384E-05   -0.10812E+02    0.46190E+00   -0.40213E-08    0.61384E-05   -0.40213E-08    0.17278E-10
    82    0.20477E+04   -0.11355E+02    0.59787E-05   -0.11355E+02    0.47618E+00   -0.34775E-08    0.59787E-05   -0.34775E-08    0.16760E-10
    83    0.20734E+04   -0.11906E+02    0.58239E-05   -0.11906E+02    0.49055E+00   -0.33662E-08    0.58239E-05   -0.33662E-08    0.16262E-10
    84    0.20993E+04   -0.12463E+02    0.56738E-05   -0.12463E+02    0.50500E+00   -0.36696E-08    0.56738E-05   -0.36696E-08    0.15783E-10
    85    0.21254E+04   -0.13029E+02    0.55282E-05   -0.13029E+02    0.51950E+00   -0.43701E-08    0.55282E-05   -0.43701E-08    0.15322E-10
    86    0.21516E+04   -0.13600E+02    0.53869E-05   -0.13600E+02    0.53406E+00   -0.54316E-08    0.53869E-05   -0.54316E-08    0.14878E-10
    87    0.21783E+04   -0.14178E+02    0.52498E-05   -0.14178E+02    0.54866E+00   -0.67438E-08    0.52498E-05   -0.67438E-08    0.14451E-10
    88    0.22049E+04   -0.14762E+02    0.51171E-05   -0.14762E+02    0.56331E+00   -0.81782E-08    0.51171E-05   -0.81782E-08    0.14040E-10
    89    0.22319E+04   -0.15352E+02    0.49888E-05   -0.15352E+02    0.57800E+00   -0.96062E-08    0.49888E-05   -0.96062E-08    0.13643E-10
    90    0.22591E+04   -0.15947E+02    0.48648E-05   -0.15947E+02    0.59268E+00   -0.10899E-07    0.48648E-05   -0.10899E-07    0.13260E-10
    91    0.22864E+04   -0.16548E+02    0.47453E-05   -0.16548E+02    0.60736E+00   -0.11952E-07    0.47453E-05   -0.11952E-07    0.12891E-10
    92    0.23141E+04   -0.17153E+02    0.46300E-05   -0.17153E+02    0.62202E+00   -0.12760E-07    0.46300E-05   -0.12760E-07    0.12534E-10
    93    0.23419E+04   -0.17762E+02    0.45188E-05   -0.17762E+02    0.63664E+00   -0.13340E-07    0.45188E-05   -0.13340E-07    0.12189E-10
    94    0.23699E+04   -0.18374E+02    0.44116E-05   -0.18374E+02    0.65120E+00   -0.13710E-07    0.44116E-05   -0.13710E-07    0.11856E-10
