#    L    TT             EE             TE             PP             TP          
   206    0.52959E+04    0.63195E+00   -0.58004E+01    0.25533E+07    0.23705E+04
   207    0.53034E+04    0.63732E+00   -0.44732E+01    0.25406E+07    0.23510E+04
   208    0.53102E+04    0.64376E+00   -0.31286E+01    0.25279E+07    0.23317E+04
   209    0.53165E+04    0.65127E+00   -0.17670E+01    0.25154E+07    0.23125E+04
   210    0.53221E+04    0.65992E+00   -0.38935E+00    0.25030E+07    0.22935E+04
   211    0.53272E+04    0.66973E+00    0.10044E+01    0.24907E+07    0.22747E+04
   212    0.53316E+04    0.68073E+00    0.24132E+01    0.24784E+07    0.22560E+04
   213    0.53354E+04    0.69296E+00    0.38373E+01    0.24663E+07    0.22374E+04
   214    0.53386E+04    0.70641E+00    0.52753E+01    0.24542E+07    0.22190E+04
   215    0.53412E+04    0.72128E+00    0.67266E+01    0.24423E+07    0.22007E+04
   216    0.53432E+04    0.73737E+00    0.81917E+01    0.24304E+07    0.21825E+04
   217    0.53447E+04    0.75483E+00    0.96687E+01    0.24186E+07    0.21645E+04
   218    0.53455E+04    0.77368E+00    0.11158E+02    0.24069E+07    0.21467E+04
   219    0.53458E+04    0.79390E+00    0.12660E+02    0.23953E+07    0.21290E+04
   220    0.53454E+04    0.81564E+00    0.14170E+02    0.23838E+07    0.21114E+04
   221    0.53445E+04    0.83883E+00    0.15691E+02    0.23724E+07    0.20940E+04
   222    0.53431E+04    0.86360E+00    0.17222E+02    0.23611E+07    0.20767E+04
   223    0.53409E+04    0.88990E+00    0.18763E+02    0.23498E+07    0.20595E+04
   224    0.53382E+04    0.91770E+00    0.20310E+02    0.23387E+07    0.20425E+04
   225    0.53350E+04    0.94717E+00    0.21867E+02    0.23276E+07    0.20256E+04
   226    0.53311E+04    0.97829E+00    0.23429E+02    0.23166E+07    0.20088E+04
   227    0.53266E+04    0.10111E+01    0.24998E+02    0.23057E+07    0.19922E+04
   228    0.53216E+04    0.10455E+01    0.26573E+02    0.22948E+07    0.19757E+04
   229    0.53161E+04    0.10817E+01    0.28153E+02    0.22841E+07    0.19594E+04
   230    0.53099E+04    0.11195E+01    0.29737E+02    0.22734E+07    0.19431E+04
   231    0.53030E+04    0.11592E+01    0.31326E+02    0.22628E+07    0.19270E+04
   232    0.52956E+04    0.12006E+01    0.32917E+02    0.22523E+07    0.19111E+04
   233    0.52877E+04    0.12440E+01    0.34510E+02    0.22418E+07    0.18952E+04
   234    0.52791E+04    0.12891E+01    0.36104E+02    0.22315E+07    0.18795E+04
   235    0.52699E+04    0.13361E+01    0.37700E+02    0.22212E+07    0.18639E+04
   236    0.52601E+04    0.13849E+01    0.39295E+02    0.22110E+07    0.18484E+04
   237    0.52498E+04    0.14357E+01    0.40890E+02    0.22008E+07    0.18331E+04
   238    0.52388E+04    0.14885E+01    0.42485E+02    0.21908E+07    0.18179E+04
   239    0.52274E+04    0.15431E+01    0.44077E+02    0.21808E+07    0.18028E+04
   240    0.52152E+04    0.15997E+01    0.45666E+02    0.21708E+07    0.17878E+04
   241    0.52027E+04    0.16584E+01    0.47251E+02    0.21610E+07    0.17730E+04
   242    0.51895E+04    0.17189E+01    0.48833E+02    0.21512E+07    0.17582E+04
   243    0.51758E+04    0.17815E+01    0.50410E+02    0.21415E+07    0.17436E+04
   244    0.51615E+04    0.18462E+01    0.51982E+02    0.21319E+07    0.17291E+04
   245    0.51467E+04    0.19129E+01    0.53547E+02    0.21223E+07    0.17147E+04
   246    0.51313E+04    0.19816E+01    0.55105E+02    0.21128E+07    0.17005E+04
   247    0.51155E+04    0.20523E+01    0.56656E+02    0.21033E+07    0.16863E+04
   248    0.50990E+04    0.21254E+01    0.58198E+02    0.20939E+07    0.16723E+04
   249    0.50822E+04    0.22004E+01    0.59732E+02    0.20846E+07    0.16583E+04
   250    0.50648E+04    0.22776E+01    0.61255E+02    0.20754E+07    0.16445E+04
   251    0.50470E+04    0.23567E+01    0.62768E+02    0.20662E+07    0.16308E+04
   252    0.50285E+04    0.24381E+01    0.64270E+02    0.20571E+07    0.16173E+04
   253    0.50097E+04    0.25215E+01    0.65760E+02    0.20480E+07    0.16038E+04
   254    0.49904E+04    0.26071E+01    0.67238E+02    0.20390E+07    0.15904E+04
   255    0.49706E+04    0.26947E+01    0.68703E+02    0.20300E+07    0.15771E+04
   256    0.49504E+04    0.27846E+01    0.70155E+02    0.20211E+07    0.15640E+04
   257    0.49298E+04    0.28765E+01    0.71587E+02    0.20123E+07    0.15509E+04
   258    0.49086E+04    0.29706E+01    0.73011E+02    0.20036E+07    0.15380E+04
   259    0.48871E+04    0.30668E+01    0.74413E+02    0.19948E+07    0.15251E+04
   260    0.48651E+04    0.31651E+01    0.75806E+02    0.19862E+07    0.15124E+04
   261    0.48427E+04    0.32655E+01    0.77170E+02    0.19776E+07    0.14997E+04
   262    0.48198E+04    0.33681E+01    0.78526E+02    0.19691E+07    0.14872E+04
   263    0.47968E+04    0.34728E+01    0.79866E+02    0.19606E+07    0.14748E+04
   264    0.47732E+04    0.35796E+01    0.81185E+02    0.19522E+07    0.14624E+04
   265    0.47491E+04    0.36884E+01    0.82473E+02    0.19438E+07    0.14502E+04
   266    0.47248E+04    0.37995E+01    0.83754E+02    0.19355E+07    0.14380E+04
   267    0.46999E+04    0.39124E+01    0.85005E+02    0.19272E+07    0.14259E+04
   268    0.46747E+04    0.40276E+01    0.86241E+02    0.19190E+07    0.14140E+04
   269    0.46490E+04    0.41448E+01    0.87455E+02    0.19109E+07    0.14021E+04
   270    0.46231E+04    0.42639E+01    0.88646E+02    0.19028E+07    0.13903E+04
   271    0.45968E+04    0.43851E+01    0.89815E+02    0.18947E+07    0.13786E+04
   272    0.45703E+04    0.45084E+01    0.90955E+02    0.18868E+07    0.13670E+04
   273    0.45434E+04    0.46335E+01    0.92080E+02    0.18788E+07    0.13555E+04
   274    0.45162E+04    0.47607E+01    0.93168E+02    0.18709E+07    0.13441E+04
   275    0.44886E+04    0.48897E+01    0.94241E+02    0.18631E+07    0.13327E+04
   276    0.44609E+04    0.50207E+01    0.95277E+02    0.18553E+07    0.13215E+04
   277    0.44327E+04    0.51536E+01    0.96299E+02    0.18476E+07    0.13103E+04
   278    0.44043E+04    0.52883E+01    0.97284E+02    0.18399E+07    0.12992E+04
   279    0.43757E+04    0.54248E+01    0.98240E+02    0.18323E+07    0.12882E+04
   280    0.43468E+04    0.55632E+01    0.99181E+02    0.18247E+07    0.12773E+04
   281    0.43177E+04    0.57034E+01    0.10009E+03    0.18171E+07    0.12664E+04
   282    0.42883E+04    0.58451E+01    0.10096E+03    0.18096E+07    0.12557E+04
   283    0.42587E+04    0.59887E+01    0.10181E+03    0.18022E+07    0.12450E+04
   284    0.42289E+04    0.61339E+01    0.10262E+03    0.17948E+07    0.12343E+04
