#    L    TT             EE             TE             PP             TP          
   171    0.48288E+04    0.84917E+00   -0.38911E+02    0.28631E+07    0.31584E+04
   172    0.48541E+04    0.83860E+00   -0.38388E+02    0.28469E+07    0.31300E+04
   173    0.48789E+04    0.82790E+00   -0.37839E+02    0.28308E+07    0.31021E+04
   174    0.49034E+04    0.81738E+00   -0.37264E+02    0.28149E+07    0.30745E+04
   175    0.49276E+04    0.80672E+00   -0.36661E+02    0.27991E+07    0.30473E+04
   176    0.49512E+04    0.79616E+00   -0.36032E+02    0.27834E+07    0.30204E+04
   177    0.49744E+04    0.78563E+00   -0.35377E+02    0.27679E+07    0.29940E+04
   178    0.49971E+04    0.77533E+00   -0.34695E+02    0.27525E+07    0.29679E+04
   179    0.50194E+04    0.76498E+00   -0.33986E+02    0.27373E+07    0.29421E+04
   180    0.50414E+04    0.75480E+00   -0.33252E+02    0.27221E+07    0.29167E+04
   181    0.50628E+04    0.74478E+00   -0.32492E+02    0.27071E+07    0.28916E+04
   182    0.50838E+04    0.73501E+00   -0.31705E+02    0.26923E+07    0.28669E+04
   183    0.51043E+04    0.72541E+00   -0.30893E+02    0.26775E+07    0.28425E+04
   184    0.51244E+04    0.71604E+00   -0.30055E+02    0.26629E+07    0.28184E+04
   185    0.51441E+04    0.70706E+00   -0.29193E+02    0.26484E+07    0.27945E+04
   186    0.51629E+04    0.69833E+00   -0.28304E+02    0.26340E+07    0.27710E+04
   187    0.51815E+04    0.68999E+00   -0.27390E+02    0.26197E+07    0.27477E+04
   188    0.51997E+04    0.68202E+00   -0.26452E+02    0.26056E+07    0.27248E+04
   189    0.52172E+04    0.67446E+00   -0.25488E+02    0.25916E+07    0.27021E+04
   190    0.52346E+04    0.66735E+00   -0.24502E+02    0.25777E+07    0.26796E+04
   191    0.52511E+04    0.66074E+00   -0.23489E+02    0.25639E+07    0.26574E+04
   192    0.52672E+04    0.65462E+00   -0.22453E+02    0.25502E+07    0.26354E+04
   193    0.52828E+04    0.64905E+00   -0.21394E+02    0.25366E+07    0.26136E+04
   194    0.52979E+04    0.64406E+00   -0.20311E+02    0.25232E+07    0.25921E+04
   195    0.53125E+04    0.63969E+00   -0.19205E+02    0.25098E+07    0.25708E+04
   196    0.53265E+04    0.63596E+00   -0.18077E+02    0.24966E+07    0.25496E+04
   197    0.53400E+04    0.63293E+00   -0.16927E+02    0.24835E+07    0.25287E+04
