#    L    TT             EE             BB             TE             PP             TP             EP          
   125    0.33229E+04    0.10055E+01    0.00000E+00   -0.36589E+02    0.87252E-07    0.29191E-03   -0.71076E-06
   126    0.33554E+04    0.10117E+01    0.00000E+00   -0.37061E+02    0.86714E-07    0.28881E-03   -0.73550E-06
   127    0.33879E+04    0.10174E+01    0.00000E+00   -0.37520E+02    0.86181E-07    0.28576E-03   -0.75922E-06
   128    0.34203E+04    0.10228E+01    0.00000E+00   -0.37965E+02    0.85652E-07    0.28276E-03   -0.78128E-06
   129    0.34528E+04    0.10276E+01    0.00000E+00   -0.38397E+02    0.85127E-07    0.27982E-03   -0.80109E-06
   130    0.34853E+04    0.10320E+01    0.00000E+00   -0.38813E+02    0.84606E-07    0.27693E-03   -0.81802E-06
   131    0.35178E+04    0.10359E+01    0.00000E+00   -0.39216E+02    0.84090E-07    0.27409E-03   -0.83160E-06
   132    0.35503E+04    0.10394E+01    0.00000E+00   -0.39602E+02    0.83577E-07    0.27129E-03   -0.84191E-06
   133    0.35827E+04    0.10424E+01    0.00000E+00   -0.39974E+02    0.83069E-07    0.26855E-03   -0.84920E-06
   134    0.36151E+04    0.10450E+01    0.00000E+00   -0.40328E+02    0.82564E-07    0.26586E-03   -0.85368E-06
   135    0.36476E+04    0.10471E+01    0.00000E+00   -0.40666E+02    0.82064E-07    0.26321E-03   -0.85558E-06
   136    0.36798E+04    0.10487E+01    0.00000E+00   -0.40984E+02    0.81568E-07    0.26061E-03   -0.85514E-06
   137    0.37120E+04    0.10499E+01    0.00000E+00   -0.41286E+02    0.81075E-07    0.25805E-03   -0.85258E-06
   138    0.37442E+04    0.10505E+01    0.00000E+00   -0.41569E+02    0.80587E-07    0.25553E-03   -0.84813E-06
   139    0.37761E+04    0.10508E+01    0.00000E+00   -0.41834E+02    0.80102E-07    0.25305E-03   -0.84202E-06
   140    0.38081E+04    0.10505E+01    0.00000E+00   -0.42080E+02    0.79622E-07    0.25060E-03   -0.83448E-06
   141    0.38399E+04    0.10497E+01    0.00000E+00   -0.42305E+02    0.79145E-07    0.24820E-03   -0.82574E-06
   142    0.38717E+04    0.10485E+01    0.00000E+00   -0.42511E+02    0.78672E-07    0.24583E-03   -0.81603E-06
   143    0.39033E+04    0.10469E+01    0.00000E+00   -0.42697E+02    0.78203E-07    0.24349E-03   -0.80556E-06
   144    0.39348E+04    0.10447E+01    0.00000E+00   -0.42863E+02    0.77737E-07    0.24118E-03   -0.79458E-06
   145    0.39661E+04    0.10422E+01    0.00000E+00   -0.43008E+02    0.77276E-07    0.23891E-03   -0.78331E-06
   146    0.39975E+04    0.10391E+01    0.00000E+00   -0.43132E+02    0.76818E-07    0.23666E-03   -0.77198E-06
   147    0.40286E+04    0.10357E+01    0.00000E+00   -0.43233E+02    0.76364E-07    0.23444E-03   -0.76082E-06
   148    0.40594E+04    0.10317E+01    0.00000E+00   -0.43314E+02    0.75913E-07    0.23224E-03   -0.75005E-06
   149    0.40902E+04    0.10274E+01    0.00000E+00   -0.43372E+02    0.75466E-07    0.23007E-03   -0.73990E-06
   150    0.41208E+04    0.10226E+01    0.00000E+00   -0.43406E+02    0.75023E-07    0.22792E-03   -0.73061E-06
   151    0.41511E+04    0.10175E+01    0.00000E+00   -0.43418E+02    0.74584E-07    0.22579E-03   -0.72234E-06
   152    0.41812E+04    0.10118E+01    0.00000E+00   -0.43407E+02    0.74148E-07    0.22368E-03   -0.71508E-06
   153    0.42112E+04    0.10058E+01    0.00000E+00   -0.43371E+02    0.73715E-07    0.22159E-03   -0.70874E-06
   154    0.42409E+04    0.99950E+00    0.00000E+00   -0.43312E+02    0.73286E-07    0.21953E-03   -0.70325E-06
   155    0.42704E+04    0.99280E+00    0.00000E+00   -0.43229E+02    0.72861E-07    0.21748E-03   -0.69854E-06
   156    0.42996E+04    0.98574E+00    0.00000E+00   -0.43123E+02    0.72439E-07    0.21545E-03   -0.69452E-06
   157    0.43287E+04    0.97834E+00    0.00000E+00   -0.42991E+02    0.72021E-07    0.21345E-03   -0.69113E-06
   158    0.43575E+04    0.97066E+00    0.00000E+00   -0.42835E+02    0.71606E-07    0.21146E-03   -0.68828E-06
   159    0.43859E+04    0.96255E+00    0.00000E+00   -0.42655E+02    0.71194E-07    0.20950E-03   -0.68590E-06
   160    0.44142E+04    0.95416E+00    0.00000E+00   -0.42448E+02    0.70786E-07    0.20756E-03   -0.68392E-06
   161    0.44423E+04    0.94557E+00    0.00000E+00   -0.42217E+02    0.70381E-07    0.20564E-03   -0.68226E-06
   162    0.44700E+04    0.93663E+00    0.00000E+00   -0.41962E+02    0.69979E-07    0.20374E-03   -0.68084E-06
   163    0.44976E+04    0.92741E+00    0.00000E+00   -0.41681E+02    0.69581E-07    0.20186E-03   -0.67959E-06
   164    0.45248E+04    0.91798E+00    0.00000E+00   -0.41375E+02    0.69186E-07    0.20001E-03   -0.67842E-06
   165    0.45518E+04    0.90828E+00    0.00000E+00   -0.41043E+02    0.68794E-07    0.19817E-03   -0.67728E-06
   166    0.45785E+04    0.89844E+00    0.00000E+00   -0.40685E+02    0.68406E-07    0.19636E-03   -0.67607E-06
   167    0.46050E+04    0.88826E+00    0.00000E+00   -0.40303E+02    0.68021E-07    0.19457E-03   -0.67473E-06
   168    0.46310E+04    0.87809E+00    0.00000E+00   -0.39895E+02    0.67639E-07    0.19280E-03   -0.67317E-06
   169    0.46567E+04    0.86764E+00    0.00000E+00   -0.39459E+02    0.67260E-07    0.19105E-03   -0.67133E-06
   170    0.46822E+04    0.85713E+00    0.00000E+00   -0.38999E+02    0.66884E-07    0.18932E-03   -0.66912E-06
   171    0.47071E+04    0.84657E+00    0.00000E+00   -0.38511E+02    0.66512E-07    0.18762E-03   -0.66648E-06
   172    0.47317E+04    0.83588E+00    0.00000E+00   -0.37998E+02    0.66143E-07    0.18593E-03   -0.66332E-06
   173    0.47559E+04    0.82506E+00    0.00000E+00   -0.37458E+02    0.65776E-07    0.18427E-03   -0.65957E-06
   174    0.47797E+04    0.81440E+00    0.00000E+00   -0.36893E+02    0.65413E-07    0.18264E-03   -0.65515E-06
   175    0.48032E+04    0.80361E+00    0.00000E+00   -0.36301E+02    0.65053E-07    0.18102E-03   -0.64999E-06
   176    0.48261E+04    0.79292E+00    0.00000E+00   -0.35682E+02    0.64696E-07    0.17943E-03   -0.64403E-06
   177    0.48487E+04    0.78224E+00    0.00000E+00   -0.35038E+02    0.64341E-07    0.17785E-03   -0.63729E-06
   178    0.48708E+04    0.77180E+00    0.00000E+00   -0.34368E+02    0.63990E-07    0.17630E-03   -0.62980E-06
   179    0.48925E+04    0.76130E+00    0.00000E+00   -0.33671E+02    0.63642E-07    0.17477E-03   -0.62160E-06
   180    0.49138E+04    0.75096E+00    0.00000E+00   -0.32949E+02    0.63296E-07    0.17326E-03   -0.61272E-06
   181    0.49346E+04    0.74078E+00    0.00000E+00   -0.32202E+02    0.62954E-07    0.17177E-03   -0.60319E-06
   182    0.49550E+04    0.73084E+00    0.00000E+00   -0.31428E+02    0.62614E-07    0.17030E-03   -0.59305E-06
   183    0.49749E+04    0.72107E+00    0.00000E+00   -0.30629E+02    0.62277E-07    0.16885E-03   -0.58234E-06
   184    0.49944E+04    0.71152E+00    0.00000E+00   -0.29805E+02    0.61943E-07    0.16742E-03   -0.57108E-06
   185    0.50134E+04    0.70236E+00    0.00000E+00   -0.28957E+02    0.61612E-07    0.16600E-03   -0.55932E-06
   186    0.50316E+04    0.69344E+00    0.00000E+00   -0.28083E+02    0.61283E-07    0.16460E-03   -0.54709E-06
   187    0.50497E+04    0.68490E+00    0.00000E+00   -0.27184E+02    0.60957E-07    0.16322E-03   -0.53442E-06
   188    0.50672E+04    0.67673E+00    0.00000E+00   -0.26261E+02    0.60634E-07    0.16185E-03   -0.52134E-06
   189    0.50842E+04    0.66896E+00    0.00000E+00   -0.25313E+02    0.60313E-07    0.16050E-03   -0.50789E-06
   190    0.51010E+04    0.66164E+00    0.00000E+00   -0.24343E+02    0.59995E-07    0.15917E-03   -0.49411E-06
   191    0.51170E+04    0.65480E+00    0.00000E+00   -0.23347E+02    0.59680E-07    0.15784E-03   -0.48003E-06
   192    0.51326E+04    0.64845E+00    0.00000E+00   -0.22328E+02    0.59367E-07    0.15654E-03   -0.46569E-06
   193    0.51475E+04    0.64265E+00    0.00000E+00   -0.21287E+02    0.59057E-07    0.15524E-03   -0.45111E-06
   194    0.51622E+04    0.63741E+00    0.00000E+00   -0.20222E+02    0.58749E-07    0.15396E-03   -0.43633E-06
   195    0.51762E+04    0.63278E+00    0.00000E+00   -0.19135E+02    0.58443E-07    0.15269E-03   -0.42140E-06
   196    0.51897E+04    0.62880E+00    0.00000E+00   -0.18025E+02    0.58140E-07    0.15144E-03   -0.40633E-06
   197    0.52027E+04    0.62550E+00    0.00000E+00   -0.16895E+02    0.57840E-07    0.15019E-03   -0.39117E-06
   198    0.52152E+04    0.62290E+00    0.00000E+00   -0.15742E+02    0.57542E-07    0.14896E-03   -0.37595E-06
   199    0.52272E+04    0.62106E+00    0.00000E+00   -0.14569E+02    0.57246E-07    0.14773E-03   -0.36071E-06
   200    0.52387E+04    0.61998E+00    0.00000E+00   -0.13375E+02    0.56953E-07    0.14652E-03   -0.34548E-06
   201    0.52497E+04    0.61974E+00    0.00000E+00   -0.12161E+02    0.56661E-07    0.14532E-03   -0.33028E-06
   202    0.52601E+04    0.62033E+00    0.00000E+00   -0.10927E+02    0.56373E-07    0.14412E-03   -0.31513E-06
   203    0.52699E+04    0.62182E+00    0.00000E+00   -0.96726E+01    0.56086E-07    0.14294E-03   -0.30002E-06
   204    0.52791E+04    0.62423E+00    0.00000E+00   -0.84011E+01    0.55802E-07    0.14176E-03   -0.28496E-06
   205    0.52878E+04    0.62759E+00    0.00000E+00   -0.71099E+01    0.55520E-07    0.14059E-03   -0.26995E-06
   206    0.52958E+04    0.63195E+00    0.00000E+00   -0.58006E+01    0.55240E-07    0.13943E-03   -0.25498E-06
   207    0.53034E+04    0.63732E+00    0.00000E+00   -0.44733E+01    0.54962E-07    0.13828E-03   -0.24006E-06
