#    L    TT             EE             BB             TE          
   206    0.54314E+04    0.66295E+00    0.12352E-01   -0.54747E+01
   207    0.54393E+04    0.66911E+00    0.12486E-01   -0.41267E+01
   208    0.54464E+04    0.67636E+00    0.12620E-01   -0.27612E+01
   209    0.54529E+04    0.68470E+00    0.12754E-01   -0.13784E+01
   210    0.54588E+04    0.69420E+00    0.12889E-01    0.20637E-01
   211    0.54642E+04    0.70488E+00    0.13025E-01    0.14360E+01
   212    0.54688E+04    0.71676E+00    0.13161E-01    0.28667E+01
   213    0.54729E+04    0.72989E+00    0.13298E-01    0.43127E+01
   214    0.54764E+04    0.74426E+00    0.13436E-01    0.57730E+01
   215    0.54792E+04    0.76006E+00    0.13573E-01    0.72467E+01
   216    0.54814E+04    0.77711E+00    0.13712E-01    0.87344E+01
   217    0.54831E+04    0.79556E+00    0.13850E-01    0.10234E+02
   218    0.54842E+04    0.81540E+00    0.13990E-01    0.11746E+02
   219    0.54846E+04    0.83664E+00    0.14129E-01    0.13271E+02
   220    0.54845E+04    0.85942E+00    0.14269E-01    0.14805E+02
   221    0.54838E+04    0.88367E+00    0.14410E-01    0.16349E+02
   222    0.54825E+04    0.90953E+00    0.14551E-01    0.17904E+02
   223    0.54805E+04    0.93693E+00    0.14692E-01    0.19468E+02
   224    0.54780E+04    0.96586E+00    0.14834E-01    0.21039E+02
   225    0.54749E+04    0.99648E+00    0.14976E-01    0.22619E+02
   226    0.54712E+04    0.10288E+01    0.15118E-01    0.24206E+02
   227    0.54668E+04    0.10627E+01    0.15261E-01    0.25799E+02
   228    0.54620E+04    0.10984E+01    0.15404E-01    0.27398E+02
   229    0.54565E+04    0.11358E+01    0.15547E-01    0.29002E+02
   230    0.54504E+04    0.11749E+01    0.15691E-01    0.30611E+02
   231    0.54436E+04    0.12159E+01    0.15835E-01    0.32224E+02
   232    0.54364E+04    0.12586E+01    0.15979E-01    0.33840E+02
   233    0.54285E+04    0.13033E+01    0.16123E-01    0.35457E+02
   234    0.54199E+04    0.13498E+01    0.16268E-01    0.37076E+02
   235    0.54108E+04    0.13982E+01    0.16413E-01    0.38696E+02
   236    0.54011E+04    0.14484E+01    0.16558E-01    0.40317E+02
   237    0.53908E+04    0.15006E+01    0.16703E-01    0.41937E+02
   238    0.53798E+04    0.15549E+01    0.16848E-01    0.43556E+02
   239    0.53684E+04    0.16110E+01    0.16993E-01    0.45173E+02
   240    0.53563E+04    0.16691E+01    0.17138E-01    0.46787E+02
   241    0.53437E+04    0.17293E+01    0.17284E-01    0.48398E+02
   242    0.53305E+04    0.17914E+01    0.17429E-01    0.50005E+02
   243    0.53168E+04    0.18556E+01    0.17575E-01    0.51607E+02
   244    0.53024E+04    0.19218E+01    0.17720E-01    0.53204E+02
   245    0.52875E+04    0.19902E+01    0.17866E-01    0.54794E+02
   246    0.52721E+04    0.20606E+01    0.18011E-01    0.56378E+02
   247    0.52562E+04    0.21330E+01    0.18157E-01    0.57954E+02
   248    0.52397E+04    0.22078E+01    0.18302E-01    0.59522E+02
   249    0.52228E+04    0.22845E+01    0.18448E-01    0.61080E+02
   250    0.52052E+04    0.23635E+01    0.18593E-01    0.62629E+02
   251    0.51873E+04    0.24445E+01    0.18738E-01    0.64168E+02
   252    0.51687E+04    0.25277E+01    0.18883E-01    0.65696E+02
   253    0.51498E+04    0.26129E+01    0.19027E-01    0.67211E+02
   254    0.51303E+04    0.27004E+01    0.19172E-01    0.68714E+02
   255    0.51104E+04    0.27899E+01    0.19316E-01    0.70204E+02
   256    0.50900E+04    0.28818E+01    0.19460E-01    0.71682E+02
   257    0.50691E+04    0.29756E+01    0.19604E-01    0.73139E+02
   258    0.50478E+04    0.30717E+01    0.19748E-01    0.74589E+02
